method,sel,pair,delta_DEEP_1M,delta_DEEP_8M,delta_diff,cohen_DEEP_1M,cohen_DEEP_8M,ci_consistent,sign_consistent,delta_SIFT_1M,delta_SIFT_1.5M,cohen_SIFT_1M,cohen_SIFT_1.5M
kdtree,0.5,SIFT_1M_vs_SIFT_1.5M,,,-3.818,,,True,True,-0.841,-4.659,-0.213,-0.827
pq,0.01,SIFT_1M_vs_SIFT_1.5M,,,29.113,,,True,True,94.594,123.707,0.206,0.267
pq,0.05,SIFT_1M_vs_SIFT_1.5M,,,8.038,,,True,True,10.398,18.436,0.144,0.227
pq,0.1,SIFT_1M_vs_SIFT_1.5M,,,-1.285,,,True,False,0.769,-0.516,-0.032,-0.117
pq,0.3,SIFT_1M_vs_SIFT_1.5M,,,-2.067,,,True,True,-1.129,-3.196,-0.183,-0.347
pq,0.5,SIFT_1M_vs_SIFT_1.5M,,,-2.456,,,False,True,-0.024,-2.48,-0.028,-0.393
lsh,0.01,SIFT_1M_vs_SIFT_1.5M,,,-33.783,,,True,True,68.277,34.494,0.283,0.186
lsh,0.05,SIFT_1M_vs_SIFT_1.5M,,,-2.549,,,True,True,9.122,6.573,0.183,0.09
lsh,0.1,SIFT_1M_vs_SIFT_1.5M,,,-3.619,,,False,False,3.444,-0.175,0.103,-0.106
lsh,0.3,SIFT_1M_vs_SIFT_1.5M,,,-3.707,,,True,False,1.515,-2.192,0.13,-0.244
lsh,0.5,SIFT_1M_vs_SIFT_1.5M,,,-2.637,,,True,False,1.395,-1.242,0.211,-0.203
kde_pilot,0.01,SIFT_1M_vs_SIFT_1.5M,,,1.529,,,True,True,19.466,20.995,0.059,0.069
kde_pilot,0.05,SIFT_1M_vs_SIFT_1.5M,,,-2.419,,,False,True,3.081,0.662,0.017,-0.074
kde_pilot,0.1,SIFT_1M_vs_SIFT_1.5M,,,-2.664,,,False,False,0.333,-2.331,-0.053,-0.204
kde_pilot,0.3,SIFT_1M_vs_SIFT_1.5M,,,-2.621,,,False,True,-0.147,-2.768,-0.056,-0.333
kde_pilot,0.5,SIFT_1M_vs_SIFT_1.5M,,,-2.226,,,False,True,-0.069,-2.295,-0.038,-0.425
distance_shell,0.01,SIFT_1M_vs_SIFT_1.5M,,,2.443,,,True,True,14.908,17.351,0.033,0.091
distance_shell,0.05,SIFT_1M_vs_SIFT_1.5M,,,1.551,,,True,True,6.669,8.22,0.138,0.147
distance_shell,0.1,SIFT_1M_vs_SIFT_1.5M,,,-1.553,,,True,True,6.389,4.836,0.247,0.125
distance_shell,0.3,SIFT_1M_vs_SIFT_1.5M,,,-1.587,,,True,True,5.965,4.378,0.403,0.243
distance_shell,0.5,SIFT_1M_vs_SIFT_1.5M,,,-0.908,,,True,True,3.477,2.569,0.408,0.245
spectral,0.01,SIFT_1M_vs_SIFT_1.5M,,,19.001,,,True,True,13.752,32.753,-0.005,0.163
spectral,0.05,SIFT_1M_vs_SIFT_1.5M,,,5.288,,,False,True,0.747,6.035,-0.085,0.068
spectral,0.1,SIFT_1M_vs_SIFT_1.5M,,,-0.413,,,True,True,-3.022,-3.435,-0.272,-0.254
spectral,0.3,SIFT_1M_vs_SIFT_1.5M,,,-2.972,,,True,True,-2.182,-5.154,-0.352,-0.585
spectral,0.5,SIFT_1M_vs_SIFT_1.5M,,,-2.967,,,True,True,-0.815,-3.782,-0.208,-0.635
birch,0.01,SIFT_1M_vs_SIFT_1.5M,,,8.361,,,True,True,16.433,24.794,0.021,0.118
birch,0.05,SIFT_1M_vs_SIFT_1.5M,,,-0.718,,,True,True,0.755,0.037,-0.087,-0.107
birch,0.1,SIFT_1M_vs_SIFT_1.5M,,,-3.987,,,True,True,-2.472,-6.459,-0.235,-0.442
birch,0.3,SIFT_1M_vs_SIFT_1.5M,,,-3.791,,,True,True,-2.06,-5.851,-0.341,-0.716
birch,0.5,SIFT_1M_vs_SIFT_1.5M,,,-3.405,,,True,True,-0.905,-4.31,-0.228,-0.743
gmm,0.01,SIFT_1M_vs_SIFT_1.5M,,,-0.682,,,True,True,14.501,13.819,-0.003,0.027
gmm,0.05,SIFT_1M_vs_SIFT_1.5M,,,-2.412,,,False,True,-1.061,-3.473,-0.157,-0.263
gmm,0.1,SIFT_1M_vs_SIFT_1.5M,,,-5.06,,,True,True,-2.588,-7.648,-0.246,-0.521
gmm,0.3,SIFT_1M_vs_SIFT_1.5M,,,-4.778,,,True,True,-1.512,-6.29,-0.25,-0.773
gmm,0.5,SIFT_1M_vs_SIFT_1.5M,,,-4.04,,,False,True,-0.393,-4.433,-0.106,-0.796
hdbscan,0.01,SIFT_1M_vs_SIFT_1.5M,,,1.292,,,True,True,15.173,16.465,0.007,0.049
hdbscan,0.05,SIFT_1M_vs_SIFT_1.5M,,,-1.419,,,True,True,-2.807,-4.226,-0.25,-0.288
hdbscan,0.1,SIFT_1M_vs_SIFT_1.5M,,,-3.737,,,True,True,-4.817,-8.554,-0.414,-0.557
hdbscan,0.3,SIFT_1M_vs_SIFT_1.5M,,,-4.451,,,True,True,-2.614,-7.065,-0.434,-0.861
hdbscan,0.5,SIFT_1M_vs_SIFT_1.5M,,,-3.541,,,True,True,-1.143,-4.684,-0.292,-0.825
sobol,0.01,SIFT_1M_vs_SIFT_1.5M,,,277.036,,,True,True,20.464,297.5,0.063,0.07
sobol,0.05,SIFT_1M_vs_SIFT_1.5M,,,20.49,,,True,True,2.237,22.727,-0.022,0.085
sobol,0.1,SIFT_1M_vs_SIFT_1.5M,,,-0.094,,,True,True,-0.886,-0.98,-0.13,-0.144
sobol,0.3,SIFT_1M_vs_SIFT_1.5M,,,-2.875,,,True,True,-1.258,-4.133,-0.194,-0.465
sobol,0.5,SIFT_1M_vs_SIFT_1.5M,,,-3.514,,,False,True,-0.028,-3.542,-0.031,-0.589
sparse_rp,0.01,SIFT_1M_vs_SIFT_1.5M,,,4.529,,,True,True,10.513,15.042,-0.055,0.03
sparse_rp,0.05,SIFT_1M_vs_SIFT_1.5M,,,-3.915,,,False,False,0.511,-3.404,-0.097,-0.255
sparse_rp,0.1,SIFT_1M_vs_SIFT_1.5M,,,-4.933,,,True,True,-2.476,-7.409,-0.239,-0.509
sparse_rp,0.3,SIFT_1M_vs_SIFT_1.5M,,,-3.599,,,True,True,-1.699,-5.298,-0.273,-0.615
sparse_rp,0.5,SIFT_1M_vs_SIFT_1.5M,,,-2.922,,,True,True,-0.596,-3.518,-0.155,-0.617
