dataset,sel,method,n_pairs,delta_pct_mean,delta_pct_ci_low,delta_pct_ci_high,delta_pct_se,ci_excludes_zero,cohens_d,d_magnitude,direction
DEEP,0.01,minibatch,486,5.515450417941883,-0.7375208890148871,9.703034736842115,3.3006351813388854,False,-0.055143102065247904,negligible,improve
DEEP,0.01,minibatch_partial,481,6.656059899149615,-6.369850331012818,10.21658421052631,3.3679671237983215,False,-0.05176753631178052,negligible,improve
DEEP,0.01,random_proj,474,17.69664415971235,14.425465000000006,22.947359526385263,3.5205494219778144,True,0.2083368695977861,small,hurt
DEEP,0.01,pca1d,482,1.3874202379465816,-14.528452189270757,3.556500424428343,3.332304498374011,False,-0.06222800524229675,negligible,improve
DEEP,0.01,hilbert,484,2.7982946411605227,0.13294319154002526,4.594235806154673,2.582300348709646,True,-0.04100117257049118,negligible,improve
DEEP,0.01,zorder,481,2.365273987613943,-13.976505293803017,5.406023848645743,3.3020308712720685,False,0.01647877314453509,negligible,hurt
DEEP,0.01,hybrid,491,7.04465228251317,-8.745476315789503,12.786592040951625,4.314826089241838,False,-0.006684899087861816,negligible,improve
DEEP,0.01,kdtree,488,9.350400857660137,-5.892190917277774,14.694047943366392,4.874059366784309,False,0.055149209232994975,negligible,hurt
DEEP,0.01,pq,461,23.64066510710494,15.910653157894721,31.8007925164537,4.422824993383596,True,0.23220739993890788,small,hurt
DEEP,0.01,lsh,475,12.251764113584054,-6.063208333333346,17.081276052631583,5.128740701742059,False,0.16031348300819803,negligible,hurt
DEEP,0.01,kde_pilot,492,-6.971908395120749,-20.95708119602525,-4.657776344321255,2.832609200822336,True,0.001513327026468145,negligible,hurt
DEEP,0.01,distance_shell,481,1.0433603582577344,-13.465949820788538,9.404166666666672,4.00883161382737,False,0.03966342666007845,negligible,hurt
DEEP,0.01,is_p50_noclip,44,292.6418877052348,217.90241108783613,374.87291076151433,42.25887210113654,True,1.126946061125259,large,hurt
DEEP,0.01,is_p50_clip,44,-5.684328959657644,-13.211250212747439,2.451494345949193,4.457806214337226,False,-0.13570046669944633,negligible,improve
DEEP,0.01,is_p200_noclip,24,538.4408969973431,260.6775242975194,979.8290136305344,191.68729886981825,True,0.8261637756996724,large,hurt
DEEP,0.01,is_p200_clip,24,39.881769734956976,3.132328128513353,79.28371409358961,24.451754619941376,True,0.5385598382636312,medium,hurt
DEEP,0.01,spectral,461,16.70857455807757,-0.4959694406322961,20.86598869907137,4.073021243329281,False,0.18681731295900852,negligible,hurt
DEEP,0.01,birch,476,12.773546633916807,-4.994726199077572,18.335920330725852,4.817225941149464,False,0.09841787519207068,negligible,hurt
DEEP,0.01,gmm,481,4.724423803511087,-12.16062057951177,11.630851315789476,4.517728656678799,False,-0.026199399805042548,negligible,improve
DEEP,0.01,hdbscan,476,6.682537994235059,-10.161263157894753,11.018001791348613,3.7982381481350824,False,-0.014109290138454094,negligible,improve
DEEP,0.01,sobol,473,16.204719166037155,-0.3633432785087933,21.62075026315789,4.147314468305084,False,0.05927249975433363,negligible,hurt
DEEP,0.01,sparse_rp,475,-0.2816219188019699,-15.919540229885076,1.3157894736842186,4.212668387860902,False,-0.050790087483564395,negligible,improve
DEEP,0.05,minibatch,500,-1.869502521125954,-5.127766990846708,1.7981431511859984,2.311066925769914,False,-0.11383837342136825,negligible,improve
DEEP,0.05,minibatch_partial,500,-3.0216017942274402,-6.258139969233229,0.2813402191028197,2.237080142994126,False,-0.13810692276275904,negligible,improve
DEEP,0.05,random_proj,500,1.496019791198621,-2.0677049016246296,5.468917025493606,2.4417882093143306,False,0.17977050388555196,negligible,hurt
DEEP,0.05,pca1d,500,0.48087443229403193,-2.4270440417696686,3.7583289473684167,2.2807906313070885,False,-0.005005847437751112,negligible,improve
DEEP,0.05,hilbert,500,-3.140258075427983,-6.301597151603021,0.8573803345847874,2.259725888284537,False,-0.17058349737566003,negligible,improve
DEEP,0.05,zorder,500,-0.9753845937784067,-3.7422295194508126,2.2325922078998715,2.219487724495523,False,-0.05773004874606572,negligible,improve
DEEP,0.05,hybrid,500,-2.6634462517432866,-5.547794242152492,0.8808095323110943,2.2168602191171263,False,-0.13052112405062796,negligible,improve
DEEP,0.05,kdtree,500,-0.6776022970599731,-3.6613404631751103,2.85359736842104,2.2919831562443322,False,0.014929737454987402,negligible,hurt
DEEP,0.05,pq,500,3.0179866144918144,-1.0260273865027936,7.789727431634247,2.6136639161472406,False,0.19240631925723295,negligible,hurt
DEEP,0.05,lsh,500,1.8627142743716432,-1.5559178823549267,5.528141042063158,2.3766713568547355,False,0.137121121426587,negligible,hurt
DEEP,0.05,kde_pilot,500,-1.339030824081731,-4.467407889219727,2.0837788325396374,2.2515738909184746,False,-0.06239559957921204,negligible,improve
DEEP,0.05,distance_shell,500,7.558523599485751,3.254962192816623,12.290571811968132,2.6825465937888415,True,0.32112060932051967,small,hurt
DEEP,0.05,is_p50_noclip,387,34.62519555625436,24.180623498057265,47.93819933233408,6.333231923290248,True,0.7000764002165116,medium,hurt
DEEP,0.05,is_p50_clip,387,90.36748604142986,74.44033907444286,110.08866072155703,8.379650403550457,True,0.8998093387540147,large,hurt
DEEP,0.05,is_p200_noclip,303,36.24401276128305,26.30389667566587,46.6820511296035,5.262075408561313,True,0.5726919082324458,medium,hurt
DEEP,0.05,is_p200_clip,303,93.41938789749484,68.0940680327389,115.18579000843366,11.267255788506747,True,1.119149694914699,large,hurt
DEEP,0.05,spectral,500,1.6924849769019898,-1.6292503632715194,5.566031418856991,2.3590796751400105,False,0.1660555977582987,negligible,hurt
DEEP,0.05,birch,500,-2.125445375800455,-4.9692514985570835,1.4780527183315886,2.2357166650561813,False,-0.03781309503138684,negligible,improve
DEEP,0.05,gmm,500,-3.3774119573440258,-6.56022424485126,0.5158433286172214,2.310608293143802,False,-0.1085094636761237,negligible,improve
DEEP,0.05,hdbscan,500,-2.5964666569357977,-5.3858711670480695,0.6900539473684131,2.174789613994895,False,-0.11527420575288455,negligible,improve
DEEP,0.05,sobol,500,1.5101446146095372,-1.8278655985571008,5.195175194650884,2.3390480922686536,False,0.12970965338488946,negligible,hurt
DEEP,0.05,sparse_rp,500,-0.05175009293516098,-3.970251716247171,4.2319749216300995,2.616018482267802,False,-0.019646220429162416,negligible,improve
DEEP,0.1,minibatch,500,-1.8599190971656703,-3.570428742894116,-0.0032668839151747467,0.8586328816464297,True,-0.15135794048824983,negligible,improve
DEEP,0.1,minibatch_partial,500,-2.0672969236056624,-3.6738581587291166,-0.32231716370357727,0.7824909691256741,True,-0.15934884633830557,negligible,improve
DEEP,0.1,random_proj,500,0.5095033374745747,-1.4841658668660427,2.493826824162694,0.9343840031892139,False,0.15230283383751803,negligible,hurt
DEEP,0.1,pca1d,500,-1.9278081931175854,-3.736047939030861,0.06150038339261049,0.8916529465533423,False,-0.09101546147982044,negligible,improve
DEEP,0.1,hilbert,500,-1.5209424141157517,-3.1879265393103555,0.31255008521220085,0.81153640886638,False,-0.10745344315266969,negligible,improve
DEEP,0.1,zorder,500,-1.3804762792964027,-2.927013089195362,0.2644928229665182,0.8183375006360858,False,-0.07838054648259077,negligible,improve
DEEP,0.1,hybrid,500,-2.68050035847275,-4.540697599795621,-0.8005041846307853,0.8751832445669396,True,-0.2022309867448842,small,improve
DEEP,0.1,kdtree,500,-1.2300872620175574,-2.9101332138083,0.5292396450337071,0.8092357127025883,False,-0.02751766971866731,negligible,improve
DEEP,0.1,pq,500,2.070300050751704,0.12040156526901513,4.171021966447599,1.0396182590945409,True,0.20283439289004432,small,hurt
DEEP,0.1,lsh,500,1.4839365292280056,-0.34363616386563056,3.6084834532555856,0.9414573983886693,False,0.15394798674588026,negligible,hurt
DEEP,0.1,kde_pilot,500,-1.0430198204711332,-2.7327039379538824,0.8864167179236265,0.8301535595168117,False,-0.015877862053587644,negligible,improve
DEEP,0.1,distance_shell,500,10.265081458842399,7.864796265418033,13.147038419653589,1.3579320233229746,True,0.5599109856916901,medium,hurt
