method,dataset,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
pca1d,SIFT,0.05,500,-2.607,-4.528,-0.621,True,-0.2272,1.1689,1.2031
pca1d,SIFT,0.1,500,-7.276,-8.649,-5.799,True,-0.4892,1.0963,1.199
pca1d,SIFT,0.3,500,-6.477,-7.21,-5.707,True,-0.7654,1.0471,1.1255
pca1d,SIFT,0.5,500,-4.528,-5.008,-3.99,True,-0.7705,1.0264,1.0753
zorder,DEEP,0.01,472,13.076,7.202,18.939,True,-0.0324,1.3356,1.2987
zorder,DEEP,0.05,500,-0.959,-2.881,1.021,False,-0.1552,1.1596,1.1948
zorder,DEEP,0.1,500,-1.387,-2.556,-0.188,True,-0.174,1.1006,1.1169
zorder,DEEP,0.3,500,-1.475,-2.101,-0.847,True,-0.2407,1.0499,1.0596
zorder,DEEP,0.5,500,-1.091,-1.493,-0.707,True,-0.266,1.0303,1.0405
zorder,SIFT,0.01,473,16.582,10.323,22.786,True,0.0403,1.3185,1.2987
zorder,SIFT,0.05,500,-4.6,-6.522,-2.672,True,-0.3061,1.1448,1.2031
zorder,SIFT,0.1,500,-7.649,-8.97,-6.286,True,-0.5243,1.1003,1.199
zorder,SIFT,0.3,500,-6.855,-7.571,-6.146,True,-0.8458,1.0457,1.1255
zorder,SIFT,0.5,500,-4.872,-5.354,-4.362,True,-0.8473,1.0235,1.0753
hybrid,DEEP,0.01,481,10.446,4.686,16.191,True,-0.06,1.3747,1.2987
hybrid,DEEP,0.05,500,-2.509,-4.242,-0.865,True,-0.2238,1.1392,1.1948
hybrid,DEEP,0.1,500,-2.773,-4.014,-1.535,True,-0.263,1.0872,1.1169
hybrid,DEEP,0.3,500,-1.304,-1.962,-0.661,True,-0.2149,1.0501,1.0596
hybrid,DEEP,0.5,500,-0.93,-1.352,-0.526,True,-0.2214,1.0315,1.0405
hybrid,SIFT,0.01,471,7.926,3.084,12.899,True,-0.0566,1.4473,1.2987
hybrid,SIFT,0.05,500,-4.333,-6.294,-2.327,True,-0.279,1.147,1.2031
hybrid,SIFT,0.1,500,-8.467,-9.762,-7.116,True,-0.5687,1.0876,1.199
hybrid,SIFT,0.3,500,-7.01,-7.723,-6.314,True,-0.8681,1.0428,1.1255
hybrid,SIFT,0.5,500,-4.802,-5.283,-4.295,True,-0.8509,1.0248,1.0753
minibatch_partial,DEEP,0.01,472,6.853,1.788,12.176,True,-0.1073,1.4021,1.2987
minibatch_partial,DEEP,0.05,500,-2.784,-4.581,-1.043,True,-0.2353,1.1361,1.1948
minibatch_partial,DEEP,0.1,500,-2.263,-3.384,-1.148,True,-0.2359,1.0939,1.1169
minibatch_partial,DEEP,0.3,500,-1.36,-1.972,-0.745,True,-0.2262,1.053,1.0596
minibatch_partial,DEEP,0.5,500,-0.987,-1.384,-0.605,True,-0.2355,1.03,1.0405
minibatch_partial,SIFT,0.01,459,16.372,9.983,23.514,True,0.0519,1.4441,1.2987
minibatch_partial,SIFT,0.05,500,-1.833,-3.74,0.126,False,-0.1874,1.1624,1.2031
minibatch_partial,SIFT,0.1,500,-8.023,-9.274,-6.748,True,-0.5463,1.0957,1.199
minibatch_partial,SIFT,0.3,500,-6.818,-7.548,-6.071,True,-0.8052,1.0407,1.1255
minibatch_partial,SIFT,0.5,500,-4.634,-5.132,-4.104,True,-0.7952,1.0251,1.0753
pq,DEEP,0.01,452,64.42,43.315,89.354,True,0.2122,1.5925,1.2987
pq,DEEP,0.05,500,6.211,3.581,9.102,True,0.1112,1.2071,1.1948
pq,DEEP,0.1,500,3.023,1.509,4.49,True,0.0982,1.1381,1.1169
pq,DEEP,0.3,500,0.201,-0.53,0.932,False,-0.0212,1.0629,1.0596
pq,DEEP,0.5,500,0.209,-0.252,0.659,False,0.0142,1.043,1.0405
pq,SIFT,0.01,390,123.707,88.743,162.803,True,0.2672,1.4373,1.2987
pq,SIFT,0.05,500,18.436,12.784,24.805,True,0.2266,1.2859,1.2031
pq,SIFT,0.1,500,-0.516,-2.511,1.366,False,-0.1173,1.1515,1.199
pq,SIFT,0.3,500,-3.196,-4.073,-2.285,True,-0.347,1.0703,1.1255
pq,SIFT,0.5,500,-2.48,-3.067,-1.892,True,-0.3929,1.0445,1.0753
spectral,DEEP,0.01,455,38.365,25.582,52.401,True,0.1491,1.5137,1.2987
spectral,DEEP,0.05,500,4.846,2.247,7.522,True,0.0733,1.1903,1.1948
spectral,DEEP,0.1,500,2.302,0.866,3.73,True,0.0616,1.1301,1.1169
spectral,DEEP,0.3,500,-0.017,-0.743,0.74,False,-0.0453,1.0555,1.0596
spectral,DEEP,0.5,500,-0.043,-0.498,0.391,False,-0.0335,1.0384,1.0405
spectral,SIFT,0.01,440,32.753,22.508,44.534,True,0.1634,1.4345,1.2987
spectral,SIFT,0.05,499,6.035,2.901,9.812,True,0.0683,1.2197,1.2031
spectral,SIFT,0.1,500,-3.435,-5.032,-1.72,True,-0.2541,1.1277,1.199
spectral,SIFT,0.3,500,-5.154,-5.957,-4.386,True,-0.5847,1.0534,1.1255
spectral,SIFT,0.5,500,-3.782,-4.301,-3.238,True,-0.6347,1.0337,1.0753
birch,DEEP,0.01,467,19.011,11.809,26.466,True,0.0456,1.472,1.2987
birch,DEEP,0.05,500,-0.872,-2.592,0.914,False,-0.1435,1.1449,1.1948
birch,DEEP,0.1,500,-1.009,-2.257,0.35,False,-0.1433,1.1023,1.1169
birch,DEEP,0.3,500,-1.015,-1.675,-0.352,True,-0.173,1.0515,1.0596
birch,DEEP,0.5,500,-0.664,-1.106,-0.24,True,-0.1616,1.0337,1.0405
birch,SIFT,0.01,471,24.794,15.718,35.35,True,0.1185,1.4385,1.2987
birch,SIFT,0.05,500,0.037,-2.303,2.563,False,-0.1074,1.1735,1.2031
birch,SIFT,0.1,500,-6.459,-7.779,-5.065,True,-0.4418,1.1034,1.199
birch,SIFT,0.3,500,-5.851,-6.595,-5.137,True,-0.7155,1.0491,1.1255
birch,SIFT,0.5,500,-4.31,-4.796,-3.787,True,-0.7428,1.0281,1.0753
distance_shell,DEEP,0.01,474,12.233,6.401,18.369,True,-0.0373,1.2987,1.2987
distance_shell,DEEP,0.05,500,10.303,7.529,13.223,True,0.2407,1.2564,1.1948
distance_shell,DEEP,0.1,500,13.839,11.602,16.329,True,0.4753,1.2297,1.1169
distance_shell,DEEP,0.3,500,13.032,11.449,14.738,True,0.6774,1.1564,1.0596
distance_shell,DEEP,0.5,500,7.249,6.322,8.257,True,0.6552,1.1016,1.0405
distance_shell,SIFT,0.01,467,18.421,12.66,24.519,True,0.0961,1.4076,1.2987
distance_shell,SIFT,0.05,500,13.178,9.869,16.843,True,0.252,1.2776,1.2031
distance_shell,SIFT,0.1,500,9.934,7.59,12.487,True,0.2836,1.268,1.199
distance_shell,SIFT,0.3,500,9.267,7.571,11.092,True,0.4282,1.1769,1.1255
distance_shell,SIFT,0.5,500,5.246,4.167,6.352,True,0.395,1.1057,1.0753
sobol,DEEP,0.01,465,141.563,26.935,356.714,True,0.0585,1.4993,1.2987
sobol,DEEP,0.05,500,3.725,1.281,6.119,True,0.0377,1.1901,1.1948
sobol,DEEP,0.1,500,1.65,0.163,3.119,True,0.0225,1.1199,1.1169
sobol,DEEP,0.3,500,-0.173,-0.88,0.512,False,-0.0633,1.0576,1.0596
sobol,DEEP,0.5,500,0.253,-0.21,0.745,False,0.0207,1.0414,1.0405
sobol,SIFT,0.01,433,297.5,73.717,756.358,True,0.0699,1.7048,1.2987
sobol,SIFT,0.05,500,22.727,8.252,44.738,True,0.0853,1.2563,1.2031
sobol,SIFT,0.1,500,-0.98,-2.885,0.948,False,-0.1441,1.1551,1.199
sobol,SIFT,0.3,500,-4.133,-4.993,-3.289,True,-0.4646,1.0648,1.1255
sobol,SIFT,0.5,500,-3.542,-4.044,-3.01,True,-0.5885,1.0338,1.0753
sparse_rp,DEEP,0.01,467,8.204,2.562,13.711,True,-0.1022,1.3103,1.2987
sparse_rp,DEEP,0.05,500,-0.419,-2.203,1.391,False,-0.1275,1.1776,1.1948
sparse_rp,DEEP,0.1,500,0.129,-1.195,1.443,False,-0.0682,1.1159,1.1169
sparse_rp,DEEP,0.3,500,-0.475,-1.116,0.189,False,-0.1035,1.0582,1.0596
sparse_rp,DEEP,0.5,500,-0.356,-0.823,0.091,False,-0.0959,1.0366,1.0405
sparse_rp,SIFT,0.01,470,15.042,8.989,21.288,True,0.0298,1.3189,1.2987
sparse_rp,SIFT,0.05,500,-3.404,-5.145,-1.449,True,-0.2554,1.1483,1.2031
sparse_rp,SIFT,0.1,500,-7.409,-8.706,-6.001,True,-0.509,1.099,1.199
sparse_rp,SIFT,0.3,500,-5.298,-6.069,-4.502,True,-0.6145,1.0574,1.1255
sparse_rp,SIFT,0.5,500,-3.518,-4.03,-2.996,True,-0.6165,1.0375,1.0753
gmm,DEEP,0.01,473,9.42,3.767,15.411,True,-0.0705,1.3689,1.2987
gmm,DEEP,0.05,500,-2.263,-3.956,-0.492,True,-0.2112,1.1303,1.1948
gmm,DEEP,0.1,500,-1.487,-2.735,-0.16,True,-0.1748,1.0952,1.1169
gmm,DEEP,0.3,500,-0.889,-1.531,-0.251,True,-0.1616,1.0539,1.0596
gmm,DEEP,0.5,500,-0.471,-0.889,-0.073,True,-0.1265,1.0401,1.0405
gmm,SIFT,0.01,481,13.819,8.397,19.851,True,0.0268,1.4345,1.2987
gmm,SIFT,0.05,500,-3.473,-5.5,-1.457,True,-0.2626,1.157,1.2031
gmm,SIFT,0.1,500,-7.648,-8.956,-6.308,True,-0.5212,1.1073,1.199
gmm,SIFT,0.3,500,-6.29,-7.017,-5.56,True,-0.7735,1.0523,1.1255
gmm,SIFT,0.5,500,-4.433,-4.903,-3.933,True,-0.796,1.0271,1.0753
hdbscan,DEEP,0.01,468,11.165,5.028,17.567,True,-0.0558,1.3944,1.2987
hdbscan,DEEP,0.05,500,-2.363,-4.111,-0.55,True,-0.2092,1.1408,1.1948
hdbscan,DEEP,0.1,500,-2.421,-3.62,-1.208,True,-0.2366,1.0864,1.1169
hdbscan,DEEP,0.3,500,-1.259,-1.888,-0.642,True,-0.2128,1.0505,1.0596
hdbscan,DEEP,0.5,500,-1.149,-1.554,-0.739,True,-0.2704,1.0303,1.0405
hdbscan,SIFT,0.01,475,16.465,9.902,23.597,True,0.0491,1.3841,1.2987
hdbscan,SIFT,0.05,500,-4.226,-5.989,-2.39,True,-0.2885,1.1372,1.2031
hdbscan,SIFT,0.1,500,-8.554,-9.834,-7.176,True,-0.5575,1.0768,1.199
hdbscan,SIFT,0.3,500,-7.065,-7.783,-6.327,True,-0.8614,1.0423,1.1255
hdbscan,SIFT,0.5,500,-4.684,-5.166,-4.188,True,-0.8251,1.0251,1.0753
