dataset,selectivity,query_id,mode,q_error,bern_q,method_minus_bern,rank
DEEP,0.01,2,is_p50_clip,1.5581585699052987,1.5733333333333333,-0.015174763428034588,10.0
DEEP,0.01,2,is_p50_noclip,3.9651193191756064,1.5733333333333333,2.391785985842273,22.0
DEEP,0.01,2,kde_pilot,1.308308905733917,1.5733333333333333,-0.26502442759941625,3.0
DEEP,0.01,2,kdtree,1.461922262986205,1.5733333333333333,-0.11141107034712827,9.0
DEEP,0.01,2,km20,1.2850453453829318,1.5733333333333333,-0.28828798795040145,1.0
DEEP,0.01,2,lsh,1.3120752084071619,1.5733333333333333,-0.2612581249261714,4.0
DEEP,0.01,2,minibatch,1.970386250670277,1.5733333333333333,0.3970529173369437,18.0
DEEP,0.01,2,minibatch_partial,1.6812609180200362,1.5733333333333333,0.10792758468670294,13.0
DEEP,0.01,2,pca1d,2.4914267573600495,1.5733333333333333,0.9180934240267162,20.0
DEEP,0.01,2,pq,1.335693958378733,1.5733333333333333,-0.2376393749546002,5.0
DEEP,0.01,2,random20,1.7965016358130206,1.5733333333333333,0.22316830247968733,14.0
DEEP,0.01,2,random_proj,1.8150435065072812,1.5733333333333333,0.24171017317394794,15.0
DEEP,0.01,2,sobol,1.6632952796150966,1.5733333333333333,0.08996194628176335,12.0
DEEP,0.01,2,sparse_rp,1.3603508771929824,1.5733333333333333,-0.21298245614035083,7.0
DEEP,0.01,2,spectral,1.960361423274911,1.5733333333333333,0.38702808994157767,17.0
DEEP,0.01,2,zorder,1.9290089961253123,1.5733333333333333,0.35567566279197904,16.0
DEEP,0.01,3,birch,1.2795631578947368,1.916371507280598,-0.6368083493858612,5.0
DEEP,0.01,3,distance_shell,1.6664999999999999,1.916371507280598,-0.24987150728059815,15.0
DEEP,0.01,3,gmm,1.6474741843092513,1.916371507280598,-0.2688973229713467,13.0
DEEP,0.01,3,hdbscan,1.3484305124928029,1.916371507280598,-0.5679409947877951,8.0
DEEP,0.01,3,hilbert,1.677874408513329,1.916371507280598,-0.238497098767269,16.0
