method,dataset,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
spectral,DEEP_1M,0.1,500,2.302,0.866,3.73,True,0.0616,1.1301,1.1169
spectral,DEEP_1M,0.3,500,-0.017,-0.743,0.74,False,-0.0453,1.0555,1.0596
spectral,DEEP_1M,0.5,500,-0.043,-0.498,0.391,False,-0.0335,1.0384,1.0405
birch,DEEP_1M,0.01,467,19.011,11.809,26.466,True,0.0456,1.472,1.2987
birch,DEEP_1M,0.05,500,-0.872,-2.592,0.914,False,-0.1435,1.1449,1.1948
birch,DEEP_1M,0.1,500,-1.009,-2.257,0.35,False,-0.1433,1.1023,1.1169
birch,DEEP_1M,0.3,500,-1.015,-1.675,-0.352,True,-0.173,1.0515,1.0596
birch,DEEP_1M,0.5,500,-0.664,-1.106,-0.24,True,-0.1616,1.0337,1.0405
gmm,DEEP_1M,0.01,473,9.42,3.767,15.411,True,-0.0705,1.3689,1.2987
gmm,DEEP_1M,0.05,500,-2.263,-3.956,-0.492,True,-0.2112,1.1303,1.1948
gmm,DEEP_1M,0.1,500,-1.487,-2.735,-0.16,True,-0.1748,1.0952,1.1169
gmm,DEEP_1M,0.3,500,-0.889,-1.531,-0.251,True,-0.1616,1.0539,1.0596
gmm,DEEP_1M,0.5,500,-0.471,-0.889,-0.073,True,-0.1265,1.0401,1.0405
hdbscan,DEEP_1M,0.01,468,11.165,5.028,17.567,True,-0.0558,1.3944,1.2987
hdbscan,DEEP_1M,0.05,500,-2.363,-4.111,-0.55,True,-0.2092,1.1408,1.1948
hdbscan,DEEP_1M,0.1,500,-2.421,-3.62,-1.208,True,-0.2366,1.0864,1.1169
hdbscan,DEEP_1M,0.3,500,-1.259,-1.888,-0.642,True,-0.2128,1.0505,1.0596
hdbscan,DEEP_1M,0.5,500,-1.149,-1.554,-0.739,True,-0.2704,1.0303,1.0405
sobol,DEEP_1M,0.01,465,141.563,26.935,356.714,True,0.0585,1.4993,1.2987
sobol,DEEP_1M,0.05,500,3.725,1.281,6.119,True,0.0377,1.1901,1.1948
