method,dataset,sel,n,delta_pct_mean,ci_lo,ci_hi,ci0_excl,cohen_d,method_median,bern_median
kde_pilot,SIFT_1M,0.3,1000,-0.147,-0.609,0.328,False,-0.0555,1.0655,1.0734
kde_pilot,SIFT_1M,0.5,1000,-0.069,-0.357,0.211,False,-0.0379,1.0375,1.0394
distance_shell,SIFT_1M,0.01,949,14.908,10.918,18.978,True,0.0328,1.3161,1.3113
distance_shell,SIFT_1M,0.05,1000,6.669,4.912,8.371,True,0.1379,1.2199,1.1992
distance_shell,SIFT_1M,0.1,1000,6.389,5.148,7.706,True,0.2474,1.1859,1.1435
distance_shell,SIFT_1M,0.3,1000,5.965,5.071,6.857,True,0.4029,1.106,1.0734
distance_shell,SIFT_1M,0.5,1000,3.477,2.966,3.987,True,0.4085,1.0594,1.0394
spectral,SIFT_1M,0.01,463,13.752,7.7,20.916,True,-0.0049,1.4344,1.3112
spectral,SIFT_1M,0.05,500,0.747,-1.376,2.949,False,-0.0847,1.1713,1.1992
spectral,SIFT_1M,0.1,500,-3.022,-4.339,-1.784,True,-0.272,1.0987,1.1435
spectral,SIFT_1M,0.3,500,-2.182,-2.755,-1.583,True,-0.3525,1.0479,1.0734
spectral,SIFT_1M,0.5,500,-0.815,-1.186,-0.433,True,-0.2084,1.0319,1.0394
birch,SIFT_1M,0.01,470,16.433,10.237,23.194,True,0.0205,1.392,1.3112
birch,SIFT_1M,0.05,500,0.755,-1.352,2.828,False,-0.0874,1.1673,1.1992
birch,SIFT_1M,0.1,500,-2.472,-3.768,-1.094,True,-0.2348,1.1077,1.1435
birch,SIFT_1M,0.3,500,-2.06,-2.609,-1.49,True,-0.3406,1.0512,1.0734
birch,SIFT_1M,0.5,500,-0.905,-1.278,-0.512,True,-0.2279,1.0289,1.0394
gmm,SIFT_1M,0.01,483,14.501,8.056,21.196,True,-0.0029,1.3795,1.3112
gmm,SIFT_1M,0.05,500,-1.061,-2.879,0.825,False,-0.1568,1.1514,1.1992
gmm,SIFT_1M,0.1,500,-2.588,-3.897,-1.308,True,-0.2465,1.0973,1.1435
gmm,SIFT_1M,0.3,500,-1.512,-2.135,-0.88,True,-0.2503,1.0565,1.0734
gmm,SIFT_1M,0.5,500,-0.393,-0.804,0.026,False,-0.1063,1.0345,1.0394
hdbscan,SIFT_1M,0.01,476,15.173,9.085,21.289,True,0.0067,1.3886,1.3096
hdbscan,SIFT_1M,0.05,500,-2.807,-4.514,-1.101,True,-0.2496,1.1436,1.1992
hdbscan,SIFT_1M,0.1,500,-4.817,-6.032,-3.688,True,-0.4137,1.0853,1.1435
hdbscan,SIFT_1M,0.3,500,-2.614,-3.177,-2.055,True,-0.434,1.0427,1.0734
hdbscan,SIFT_1M,0.5,500,-1.143,-1.498,-0.767,True,-0.2924,1.0286,1.0394
sobol,SIFT_1M,0.01,465,20.464,11.461,31.657,True,0.0626,1.392,1.3116
sobol,SIFT_1M,0.05,500,2.237,0.05,4.472,True,-0.0216,1.1646,1.1992
sobol,SIFT_1M,0.1,500,-0.886,-2.277,0.548,False,-0.1298,1.1163,1.1435
sobol,SIFT_1M,0.3,500,-1.258,-1.951,-0.53,True,-0.1942,1.0512,1.0734
sobol,SIFT_1M,0.5,500,-0.028,-0.472,0.428,False,-0.0308,1.0382,1.0394
sparse_rp,SIFT_1M,0.01,475,10.513,5.062,15.985,True,-0.055,1.3183,1.3116
sparse_rp,SIFT_1M,0.05,500,0.511,-1.369,2.331,False,-0.0973,1.1888,1.1992
sparse_rp,SIFT_1M,0.1,500,-2.476,-3.784,-1.206,True,-0.2395,1.1052,1.1435
sparse_rp,SIFT_1M,0.3,500,-1.699,-2.331,-1.109,True,-0.2729,1.0525,1.0734
sparse_rp,SIFT_1M,0.5,500,-0.596,-0.994,-0.183,True,-0.1553,1.0341,1.0394
minibatch,SIFT_8M,0.01,478,14.127,8.283,19.968,True,0.0159,1.3889,1.3067
minibatch,SIFT_8M,0.05,500,-1.949,-3.601,-0.326,True,-0.1948,1.1435,1.1934
minibatch,SIFT_8M,0.1,500,-2.288,-3.51,-1.045,True,-0.2386,1.0962,1.1182
minibatch,SIFT_8M,0.3,500,-2.569,-3.195,-1.958,True,-0.3981,1.0466,1.0728
minibatch,SIFT_8M,0.5,500,-2.21,-2.606,-1.836,True,-0.5163,1.0274,1.051
minibatch_partial,SIFT_8M,0.01,475,13.173,7.933,19.13,True,0.0002,1.4241,1.3069
minibatch_partial,SIFT_8M,0.05,500,0.8,-1.071,2.767,False,-0.0633,1.1555,1.1934
minibatch_partial,SIFT_8M,0.1,500,-2.099,-3.275,-0.882,True,-0.2196,1.0944,1.1182
minibatch_partial,SIFT_8M,0.3,500,-2.363,-2.916,-1.802,True,-0.3822,1.0482,1.0728
minibatch_partial,SIFT_8M,0.5,500,-1.994,-2.381,-1.608,True,-0.4698,1.0293,1.051
random_proj,SIFT_8M,0.01,429,531.604,383.162,703.299,True,0.3144,3.1539,1.3084
random_proj,SIFT_8M,0.05,500,95.352,60.445,155.233,True,0.1577,1.5268,1.1934
random_proj,SIFT_8M,0.1,500,31.789,27.603,36.364,True,0.6359,1.3441,1.1182
random_proj,SIFT_8M,0.3,500,11.669,10.141,13.28,True,0.6482,1.1547,1.0728
random_proj,SIFT_8M,0.5,500,6.272,5.421,7.155,True,0.5998,1.0982,1.051
pca1d,SIFT_8M,0.01,477,14.665,9.119,20.401,True,0.0267,1.3363,1.3077
pca1d,SIFT_8M,0.05,500,0.917,-1.083,2.878,False,-0.0631,1.1691,1.1934
pca1d,SIFT_8M,0.1,500,-0.967,-2.188,0.311,False,-0.1443,1.1104,1.1182
pca1d,SIFT_8M,0.3,500,-2.162,-2.783,-1.54,True,-0.3405,1.048,1.0728
pca1d,SIFT_8M,0.5,500,-1.815,-2.238,-1.389,True,-0.4004,1.0306,1.051
hilbert,SIFT_8M,0.01,477,15.636,9.404,21.894,True,0.0402,1.319,1.3064
hilbert,SIFT_8M,0.05,500,0.392,-1.47,2.271,False,-0.0825,1.1531,1.1934
hilbert,SIFT_8M,0.1,500,-2.637,-3.82,-1.433,True,-0.2577,1.0905,1.1182
hilbert,SIFT_8M,0.3,500,-2.297,-2.918,-1.663,True,-0.3558,1.0478,1.0728
hilbert,SIFT_8M,0.5,500,-1.999,-2.43,-1.588,True,-0.4367,1.0281,1.051
zorder,SIFT_8M,0.01,474,13.334,7.96,18.843,True,0.0131,1.324,1.3067
zorder,SIFT_8M,0.05,500,-0.597,-2.362,1.216,False,-0.1255,1.1417,1.1934
zorder,SIFT_8M,0.1,500,-1.4,-2.725,-0.012,True,-0.168,1.0998,1.1182
zorder,SIFT_8M,0.3,500,-2.431,-3.025,-1.817,True,-0.3796,1.0473,1.0728
zorder,SIFT_8M,0.5,500,-1.95,-2.351,-1.554,True,-0.4425,1.0297,1.051
hybrid,SIFT_8M,0.01,476,12.182,6.991,17.439,True,0.0007,1.4093,1.3073
hybrid,SIFT_8M,0.05,500,-0.673,-2.499,1.068,False,-0.132,1.15,1.1934
hybrid,SIFT_8M,0.1,500,-2.632,-3.825,-1.41,True,-0.2645,1.0901,1.1182
hybrid,SIFT_8M,0.3,500,-2.801,-3.408,-2.191,True,-0.445,1.0461,1.0728
hybrid,SIFT_8M,0.5,500,-1.985,-2.391,-1.574,True,-0.4388,1.0288,1.051
kdtree,SIFT_8M,0.01,467,13.323,7.002,19.789,True,0.0002,1.4267,1.3077
kdtree,SIFT_8M,0.05,500,0.953,-0.982,2.972,False,-0.055,1.169,1.1934
kdtree,SIFT_8M,0.1,500,-1.524,-2.727,-0.197,True,-0.1771,1.0986,1.1182
kdtree,SIFT_8M,0.3,500,-2.162,-2.758,-1.569,True,-0.3417,1.0485,1.0728
kdtree,SIFT_8M,0.5,500,-1.776,-2.182,-1.361,True,-0.3976,1.0313,1.051
pq,SIFT_8M,0.01,465,88.24,58.187,123.969,True,0.2004,1.5492,1.3069
pq,SIFT_8M,0.05,500,6.186,3.946,8.401,True,0.1477,1.2068,1.1934
pq,SIFT_8M,0.1,500,1.819,0.299,3.386,True,0.0272,1.1285,1.1182
pq,SIFT_8M,0.3,500,-1.354,-1.972,-0.733,True,-0.2176,1.0552,1.0728
pq,SIFT_8M,0.5,500,-0.902,-1.342,-0.445,True,-0.2014,1.0378,1.051
lsh,SIFT_8M,0.01,458,74.879,54.936,96.764,True,0.2907,1.7064,1.3073
lsh,SIFT_8M,0.05,500,11.153,8.382,13.955,True,0.2669,1.2393,1.1934
lsh,SIFT_8M,0.1,500,6.469,4.586,8.317,True,0.2374,1.1782,1.1182
lsh,SIFT_8M,0.3,500,0.758,-0.142,1.553,False,0.0438,1.0712,1.0728
lsh,SIFT_8M,0.5,500,0.253,-0.294,0.808,False,0.0141,1.0456,1.051
kde_pilot,SIFT_8M,0.01,953,25.413,18.639,33.05,True,0.1056,1.3676,1.3077
kde_pilot,SIFT_8M,0.05,1000,3.506,2.031,5.045,True,0.0519,1.1702,1.1934
kde_pilot,SIFT_8M,0.1,1000,2.234,1.252,3.248,True,0.064,1.1255,1.1182
kde_pilot,SIFT_8M,0.3,1000,0.452,-0.007,0.921,False,0.0245,1.0708,1.0728
kde_pilot,SIFT_8M,0.5,1000,-0.097,-0.388,0.226,False,-0.0421,1.0435,1.051
distance_shell,SIFT_8M,0.01,937,18.838,14.377,23.401,True,0.076,1.3234,1.3064
distance_shell,SIFT_8M,0.05,1000,9.147,7.469,10.861,True,0.2507,1.2454,1.1934
distance_shell,SIFT_8M,0.1,1000,8.57,7.305,9.897,True,0.3435,1.1774,1.1182
distance_shell,SIFT_8M,0.3,1000,6.252,5.355,7.2,True,0.4063,1.1057,1.0728
distance_shell,SIFT_8M,0.5,1000,3.36,2.824,3.93,True,0.3606,1.0671,1.051
gmm,SIFT_8M,0.01,463,15.396,9.528,21.411,True,0.0522,1.4382,1.3069
gmm,SIFT_8M,0.05,500,1.495,-0.434,3.472,False,-0.0338,1.1533,1.1934
gmm,SIFT_8M,0.1,500,-0.365,-1.587,0.996,False,-0.1019,1.1073,1.1182
gmm,SIFT_8M,0.3,500,-1.935,-2.542,-1.315,True,-0.3054,1.0537,1.0728
gmm,SIFT_8M,0.5,500,-1.169,-1.619,-0.705,True,-0.254,1.0352,1.051
sobol,SIFT_8M,0.01,462,130.697,35.793,270.193,True,0.0925,1.4655,1.3033
sobol,SIFT_8M,0.05,500,7.196,3.571,11.763,True,0.1096,1.1894,1.1934
sobol,SIFT_8M,0.1,500,2.001,0.336,3.67,True,0.0354,1.126,1.1182
sobol,SIFT_8M,0.3,500,-1.142,-1.818,-0.503,True,-0.1895,1.0573,1.0728
sobol,SIFT_8M,0.5,500,-0.84,-1.274,-0.383,True,-0.1846,1.0379,1.051
sparse_rp,SIFT_8M,0.01,471,18.18,12.595,24.134,True,0.0763,1.3358,1.3033
sparse_rp,SIFT_8M,0.05,500,0.968,-0.88,2.817,False,-0.0539,1.1742,1.1934
sparse_rp,SIFT_8M,0.1,500,-0.585,-1.856,0.673,False,-0.1154,1.1045,1.1182
sparse_rp,SIFT_8M,0.3,500,-1.736,-2.382,-1.094,True,-0.268,1.0538,1.0728
sparse_rp,SIFT_8M,0.5,500,-1.39,-1.825,-0.948,True,-0.2966,1.0328,1.051
