table_pair,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D_deep_target,D_wiki_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,352770,2418.458251953125,3.0234601497650146,8253,6327.110389610389,1.3043869146889033,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,536954,2408.58056640625,2.944667100906372,8137,6242.327122153209,1.3035202803010504,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,752067,2408.0966796875,2.5798802375793457,7934,8337.563320064868,1.0508650516845057,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,602570,2410.68603515625,2.6612396240234375,7796,4207.4047619047615,1.8529237002789867,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,345404,2404.065185546875,2.7372653484344482,7938,8270.917124542126,1.0419396730337775,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,628777,2407.3017578125,2.7295992374420166,7917,6185.470588235294,1.2799349519271919,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,137071,2401.0322265625,2.437206745147705,8013,10291.266774891774,1.2843213247088199,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,296404,2415.55322265625,3.154475212097168,8099,4144.065934065935,1.9543607965845504,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,703153,2406.97998046875,3.1921608448028564,8130,10355.257724059042,1.2737094371536337,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,438962,2409.861572265625,2.468273162841797,8190,4074.6134453781515,2.0100066202083404,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,33248,2401.165771484375,2.1035821437835693,8044,8258.954887218046,1.0267223877695233,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,779894,2414.31591796875,2.428924083709717,7921,4147.761904761905,1.9097046025969255,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,304120,2405.629638671875,2.57894229888916,8050,18590.95837419636,2.3094358228815355,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,73745,2414.284912109375,2.5097620487213135,7890,4203.708791208792,1.8769140280364667,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,516733,2415.7060546875,2.8653626441955566,8054,6181.994047619048,1.3028158775244927,385,385
partsupp_fb_1_join_part_wiki_1,partsupp_fb_1_join_part_wiki_1,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,181346,2414.182861328125,3.1206812858581543,8116,2071.7083333333335,3.9175398724884856,385,385
