dataset,sf,method,selectivity,median_qe,mean_qe,n_valid,paired_pct_vs_bern,ci_lo,ci_hi,ci_excludes_0,cohens_d
DEEP,1,optics,0.01,1.8759840031368256,2.2279059228488287,100,40.945050076870956,27.581897896654613,55.423707986610815,True,0.5622037340301537
DEEP,1,optics,0.05,1.376312666452995,1.4216090411838738,100,17.535869729294756,13.320642287530426,22.044227928727615,True,0.7989883322213492
DEEP,1,optics,0.1,1.2202132792997231,1.2340602744216447,100,8.290708725059675,6.200878946674877,10.61339007792418,True,0.7401121704613335
DEEP,1,optics,0.3,1.0898643312572514,1.097596446903461,100,2.71571641074329,1.9741188719177396,3.4810538185179603,True,0.6873050469928291
DEEP,1,optics,0.5,1.0603017758740805,1.062788052993852,100,1.645162151890293,1.1144796459920236,2.171584035595034,True,0.6230685973855604
DEEP,1,faiss_ivf,0.01,1.537685516829006,1.6651990232091338,100,5.390451588671885,-0.7169806077580261,11.910162601649002,False,0.163419983802065
DEEP,1,faiss_ivf,0.05,1.1785023975199485,1.1922118388092595,100,-1.3304620750663483,-3.1384798760955217,0.6807048024272097,False,-0.1391971409090259
DEEP,1,faiss_ivf,0.1,1.1058000802561538,1.1135235053722305,100,-2.2507675184903606,-3.403724405402753,-1.1292815357774453,True,-0.40032131055507947
DEEP,1,faiss_ivf,0.3,1.0543219518654756,1.055589043439301,100,-1.1959309363925468,-1.8394557228320334,-0.5184808702564432,True,-0.3653773893860142
DEEP,1,faiss_ivf,0.5,1.0368154127986284,1.036822907586387,100,-0.838180947080201,-1.2456674607182774,-0.43695392325946586,True,-0.4164206632991067
DEEP,1,pca1d,0.01,1.5528607422102394,1.6468851242340952,100,5.109624540205706,-0.8109116614570115,11.280578436929188,False,0.1652801581555861
DEEP,1,pca1d,0.05,1.175950631412754,1.191366411022621,100,-1.4233102915039653,-3.252691539182413,0.36082999219032424,False,-0.15921688980292167
DEEP,1,pca1d,0.1,1.1131774781225952,1.1180253081960756,100,-1.8433538851501734,-2.9881705770620433,-0.7002153810435313,True,-0.3302491956239255
DEEP,1,pca1d,0.3,1.0537960180583745,1.0568829933828534,100,-1.0849750512076026,-1.7127343726572628,-0.47279505866348437,True,-0.3598092943840985
DEEP,1,pca1d,0.5,1.0379442446292164,1.0376977713113096,100,-0.7517885843310779,-1.148407174640583,-0.3124847121771547,True,-0.3495886002908638
DEEP,1,random_proj,0.01,1.7215949362838732,1.9651818009288007,100,25.243804175213754,15.369507006608282,35.728461141075236,True,0.4805514375649338
DEEP,1,random_proj,0.05,1.258069652571208,1.2821873834552184,100,6.10644200208429,3.318974172442575,8.804431929925348,True,0.4343164039738799
DEEP,1,random_proj,0.1,1.1557076479956105,1.165829379693298,100,2.3475038383756455,1.0250816682362998,3.6373380389172563,True,0.33914793989091047
DEEP,1,random_proj,0.3,1.0746673682124084,1.0778582489166255,100,0.8749494024653285,0.2899993163904586,1.5286707472270964,True,0.28520163094544704
DEEP,1,random_proj,0.5,1.0455024747275918,1.0470492689291238,100,0.14094650873604167,-0.31380493549540145,0.5833299905983707,False,0.06259150747729995
DEEP,1,zorder,0.01,1.6500375689665348,1.719502090914629,100,9.408027697957593,3.129375816814804,15.942374004907657,True,0.300222255947652
DEEP,1,zorder,0.05,1.1881450059997891,1.1908183188304273,100,-1.4772897072018423,-3.244409451385995,0.2873556493008949,False,-0.16686195522723815
DEEP,1,zorder,0.1,1.10810486247908,1.116063805886733,100,-2.00411422628457,-3.174838180259079,-0.7497002949031695,True,-0.34207346080802586
DEEP,1,zorder,0.3,1.0530362865480325,1.0554341587284315,100,-1.2208545093983154,-1.7803591134524153,-0.591958673760786,True,-0.4163935256221214
DEEP,1,zorder,0.5,1.037288310235227,1.038552744121602,100,-0.6720036907358868,-1.1360695464625745,-0.25716000088536217,True,-0.3151988143624866
DEEP,1,dbscan,0.01,4.545042601102805,5.477834115976927,92,248.8258962727457,187.75058244648002,310.90590973324686,True,0.8032096349230015
DEEP,1,dbscan,0.05,2.3154890785207014,4.535334929602588,100,278.47998620543416,187.68553255553942,391.387694610015,True,0.5392442400345523
DEEP,1,dbscan,0.1,1.660504365755345,2.456741862158249,100,116.42325430999608,75.3119863647605,170.22640175427276,True,0.47697750938843075
DEEP,1,dbscan,0.3,1.2511487807893027,1.267153648755724,100,18.586231748291915,16.12101504453298,21.20196826832819,True,1.4763609444778745
DEEP,1,dbscan,0.5,1.1467775153575583,1.1484812554802177,100,9.842610218211874,8.69026207693946,11.078949313844369,True,1.5795810900623435
DEEP,1,kde_pilot,0.01,1.503475966417327,1.6234459478799692,100,2.4870925833249915,-2.9780527854672307,8.68607271162763,False,0.08426368113604905
DEEP,1,kde_pilot,0.05,1.1910522765410163,1.1954517707690866,100,-1.1190260407235264,-2.7599101588741384,0.48389578989167004,False,-0.1362722965518736
DEEP,1,kde_pilot,0.1,1.1288309685237503,1.1339011837834923,100,-0.4386464626788269,-1.5956103539923399,0.6993497686883037,False,-0.07497668061031955
DEEP,1,kde_pilot,0.3,1.0643083397817774,1.0658891721624932,100,-0.24849460573686388,-0.7524388892243313,0.22891560157289964,False,-0.10250498410717969
DEEP,1,kde_pilot,0.5,1.0420188521542015,1.0427751863535024,100,-0.26896304614893585,-0.6612925960731948,0.10487499072846403,False,-0.1410740918751165
