dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table,D1_target,D2_target
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,345404,8014,10184.516781919378,1.2708406266432963,385,385,partsupp_deep_wiki_1,1.2736424207687378,2.7372653484344482
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,628777,8001,8371.057513914657,1.0462514078133553,385,385,partsupp_deep_wiki_1,1.1811281442642212,2.7295992374420166
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,137071,7799,6330.915837409343,1.231891277706735,385,385,partsupp_deep_wiki_1,1.142971158027649,2.437206745147705
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,296404,7902,7367.1782762691855,1.0725951923076922,385,385,partsupp_deep_wiki_1,1.184220790863037,3.154475212097168
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,703153,7944,10907.74160904031,1.373079255921489,385,385,partsupp_deep_wiki_1,1.2850453853607178,3.1921608448028564
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,438962,8145,7966.267498735032,1.0224361661585364,385,385,partsupp_deep_wiki_1,1.1364035606384277,2.468273162841797
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,33248,8072,9714.960364311013,1.2035382017233665,385,385,partsupp_deep_wiki_1,1.0633318424224854,2.1035821437835693
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,779894,7941,5699.443413729128,1.3932939453125,385,385,partsupp_deep_wiki_1,1.1635044813156128,2.428924083709717
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,304120,8182,7771.968291448812,1.052757769097222,385,385,partsupp_deep_wiki_1,1.1213290691375732,2.57894229888916
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,73745,7818,6422.668240850059,1.2172511029411763,385,385,partsupp_deep_wiki_1,1.1344190835952759,2.5097620487213135
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,516733,7727,6735.705852588971,1.1471700470753203,385,385,partsupp_deep_wiki_1,1.261063575744629,2.8653626441955566
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,181346,8049,6055.6586270871985,1.329170036764706,385,385,partsupp_deep_wiki_1,1.2947359085083008,3.1206812858581543
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,620747,7982,10923.933209647495,1.3685709358115128,385,385,partsupp_deep_wiki_1,1.220629096031189,2.927414894104004
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,738510,8018,8786.641929499072,1.0958645459589762,385,385,partsupp_deep_wiki_1,1.1800967454910278,2.402500629425049
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,111011,7823,6589.981447124304,1.1871050112612613,385,385,partsupp_deep_wiki_1,1.2686152458190918,2.744110584259033
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,426052,7954,7771.968291448812,1.0234215711805554,385,385,partsupp_deep_wiki_1,1.3522268533706665,2.700775384902954
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,724169,8115,8549.165120593692,1.0535015552179534,385,385,partsupp_deep_wiki_1,1.1838191747665405,2.68540358543396
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,588630,7848,5321.639399561477,1.474733519269777,385,385,partsupp_deep_wiki_1,1.2406305074691772,2.7094972133636475
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,790256,7939,6525.215044695565,1.2166648831679072,385,385,partsupp_deep_wiki_1,1.2671555280685425,2.567054033279419
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,201003,8078,5181.312194299207,1.559064518229167,385,385,partsupp_deep_wiki_1,1.251275897026062,2.689554452896118
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,6443,8245,9620.353264389289,1.1668105839162266,383,383,partsupp_deep_wiki_1,1.1582727432250977,2.4705615043640137
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,642763,7887,12827.13768585238,1.626364610859944,383,383,partsupp_deep_wiki_1,1.160635232925415,2.4056813716888428
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,193392,8298,4123.008541881123,2.0126080059523805,383,383,partsupp_deep_wiki_1,1.2071903944015503,2.846799373626709
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,203755,7896,6108.160802786848,1.2926968125,383,383,partsupp_deep_wiki_1,1.3400602340698242,2.872863292694092
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,94462,7959,5219.2052573812625,1.524944815830721,383,383,partsupp_deep_wiki_1,1.1491119861602783,2.8380818367004395
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,590890,7835,8158.757643722433,1.0413219711196469,383,383,partsupp_deep_wiki_1,1.2978947162628174,2.8598101139068604
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,783383,8138,4712.009762149854,1.7270762181712964,383,383,partsupp_deep_wiki_1,1.150227427482605,2.81827974319458
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,737605,7930,11490.97751024276,1.4490513884290996,383,383,partsupp_deep_wiki_1,1.238210678100586,2.8511314392089844
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,516560,7846,7155.274083264593,1.0965338166920733,383,383,partsupp_deep_wiki_1,1.197317361831665,3.073276996612549
partsupp_deep_wiki_1,adaptive_sampling,0.01,0.1,137642,8110,6009.99393274206,1.3494189995462795,383,383,partsupp_deep_wiki_1,1.2696336507797241,2.7730391025543213
