sel,mode,n,p,p_adj_bh,reject_05
0.01,equal,482,0.6849035920768818,0.9042084826271797,False
0.01,proportional,477,0.2551576858592677,0.5668995510573775,False
0.01,neyman,480,0.13266238230096802,0.4734163540571738,False
0.01,anti_neyman,478,0.07372580973469622,0.4734163540571738,False
0.05,equal,500,0.2834497755286888,0.5668995510573775,False
0.05,proportional,500,0.8836575633970006,0.9042084826271797,False
0.05,neyman,500,0.2316800231557019,0.5668995510573775,False
0.05,anti_neyman,500,0.28303337872757406,0.5668995510573775,False
0.1,equal,500,0.8626982548762413,0.9042084826271797,False
0.1,proportional,500,0.9042084826271797,0.9042084826271797,False
0.1,neyman,500,0.31765902211864583,0.5775618583975379,False
0.1,anti_neyman,500,0.4564744024502454,0.702268311461916,False
0.3,equal,500,0.5614452182465273,0.802064597495039,False
0.3,proportional,500,0.06707240963605969,0.4734163540571738,False
0.3,neyman,500,0.09985361098276775,0.4734163540571738,False
0.3,anti_neyman,500,0.1362378336688917,0.4734163540571738,False
0.5,equal,500,0.8520111904042293,0.9042084826271797,False
0.5,proportional,500,0.7695391295729155,0.9042084826271797,False
0.5,neyman,500,0.14202490621715214,0.4734163540571738,False
0.5,anti_neyman,500,0.3774276421214724,0.629046070202454,False
