cell,method,selectivity,n_paired,mean_delta_pct,wilcoxon_stat,wilcoxon_p,significant_05
SIFT_sf1,sparse_rp,0.5,500,-18.757761206365657,3142.0,1.2536753653640337e-75,True
SIFT_sf1,Adaptive,0.01,500,2.786952924692854,,,False
SIFT_sf1,Adaptive,0.05,500,-28.325567590300526,4845.0,1.551550691835746e-70,True
SIFT_sf1,Adaptive,0.1,500,-30.94829490924418,1674.0,5.70962529163174e-79,True
SIFT_sf1,Adaptive,0.3,500,-26.359588649202532,505.0,2.5988965178079692e-82,True
SIFT_sf1,Adaptive,0.5,500,-18.62001775947483,2935.0,8.693969748893825e-76,True
SIFT_sf10,HDBSCAN,0.01,500,11.97326765231426,,,False
SIFT_sf10,HDBSCAN,0.05,500,-6.238737100851274,36336.0,4.182764439367725e-16,True
SIFT_sf10,HDBSCAN,0.1,500,-10.523510948832659,19174.0,3.400943044554214e-41,True
SIFT_sf10,HDBSCAN,0.3,500,-11.487838854101359,4734.0,9.852223430144473e-72,True
SIFT_sf10,HDBSCAN,0.5,500,-8.433839007021197,4904.0,2.530976400748732e-71,True
SIFT_sf10,MB_partial,0.01,500,13.91071980250458,,,False
SIFT_sf10,MB_partial,0.05,500,-5.7724876234947855,36768.0,1.2492526897975478e-15,True
SIFT_sf10,MB_partial,0.1,500,-10.342736276861952,19031.0,1.8684585041664086e-41,True
SIFT_sf10,MB_partial,0.3,500,-11.598276481986403,4785.0,1.3079349797505716e-71,True
SIFT_sf10,MB_partial,0.5,500,-8.301051960486276,5769.0,2.948917589661843e-69,True
SIFT_sf10,Hilbert,0.01,500,8.397088942116032,,,False
SIFT_sf10,Hilbert,0.05,500,-7.20925496757599,32984.0,4.722568669978716e-20,True
SIFT_sf10,Hilbert,0.1,500,-11.012482843417184,16657.0,6.755314457393393e-46,True
SIFT_sf10,Hilbert,0.3,500,-11.408292270600231,5538.0,8.33426806069653e-70,True
SIFT_sf10,Hilbert,0.5,500,-8.520804792525208,5375.0,3.406369976261889e-70,True
SIFT_sf10,sparse_rp,0.01,500,10.160661293373193,,,False
SIFT_sf10,sparse_rp,0.05,500,-4.601951329932687,41117.0,2.8517479624564183e-11,True
SIFT_sf10,sparse_rp,0.1,500,-9.06642115686002,22986.0,1.4257045062473987e-34,True
SIFT_sf10,sparse_rp,0.3,500,-9.884137632216028,9360.0,5.207406578700392e-61,True
SIFT_sf10,sparse_rp,0.5,500,-7.33378475108547,8686.0,1.6197945456181745e-62,True
SIFT_sf10,Adaptive,0.01,500,12.71888358683022,,,False
SIFT_sf10,Adaptive,0.05,500,-4.7183654873647125,38419.0,2.832841048721339e-12,True
SIFT_sf10,Adaptive,0.1,500,-8.072698719571882,25156.0,2.4206776405546313e-29,True
SIFT_sf10,Adaptive,0.3,500,-9.622049724587287,9476.5,6.066078700690061e-60,True
SIFT_sf10,Adaptive,0.5,500,-7.1869800264264,9104.0,1.4151696089631355e-60,True
