cell,method,selectivity,n_paired,mean_delta_pct,median_delta_pct,std_delta_pct
DEEP_sf1,HDBSCAN,0.01,500,12.563246924448293,-4.650245180603098,68.70812500498154
DEEP_sf1,HDBSCAN,0.05,500,-0.9057684913054238,-2.050239729854852,19.65608615209101
DEEP_sf1,HDBSCAN,0.1,500,-2.2305256607045685,-2.385452650378429,12.079946184153428
DEEP_sf1,HDBSCAN,0.3,500,-1.2938008971444073,-1.1254337267888,6.51098800313565
DEEP_sf1,HDBSCAN,0.5,500,-0.5175426584994884,-0.6441648118116639,4.3796986404946345
DEEP_sf1,MB_partial,0.01,500,16.24741605235663,-1.4196236129198274,72.8585461159233
DEEP_sf1,MB_partial,0.05,500,-1.2074941535285237,-2.698666415053459,20.218901303597193
DEEP_sf1,MB_partial,0.1,500,-1.7190443334648449,-2.39165447784898,12.335183874118663
DEEP_sf1,MB_partial,0.3,500,-2.041505372419426,-1.8127986135957217,6.107675939647853
DEEP_sf1,MB_partial,0.5,500,-0.8760479474390538,-0.6701603233579687,4.418204532461793
DEEP_sf1,Hilbert,0.01,500,13.68761939205514,0.40128338588063067,61.19025485803722
DEEP_sf1,Hilbert,0.05,500,-0.6108369203819686,-1.2185709192448329,20.196592664832696
DEEP_sf1,Hilbert,0.1,500,-0.76920697736495,-1.826234173401902,13.108991747485497
DEEP_sf1,Hilbert,0.3,500,-1.753026135793039,-1.6995784851497173,6.064881064504966
DEEP_sf1,Hilbert,0.5,500,-0.7739057628049804,-0.48305748096613177,4.110721962808759
DEEP_sf1,sparse_rp,0.01,500,15.602666517081332,0.374202069117317,65.46042241134144
DEEP_sf1,sparse_rp,0.05,500,-0.7617046685897918,-2.402954843137614,20.619137382343382
DEEP_sf1,sparse_rp,0.1,500,-0.5566471928832363,-1.770220038341954,13.355849750884916
DEEP_sf1,sparse_rp,0.3,500,-0.7796623617229311,-0.831085210884201,6.766891670895983
DEEP_sf1,sparse_rp,0.5,500,-0.45255135535064117,-0.5476983842989815,4.604091915127708
DEEP_sf1,Adaptive,0.01,500,14.32261146056129,0.0,63.154132629881936
DEEP_sf1,Adaptive,0.05,500,0.4429437903745734,-0.31156889031893775,19.672018605158545
DEEP_sf1,Adaptive,0.1,500,0.09822751390272444,-0.5194805194805288,13.77846645245127
DEEP_sf1,Adaptive,0.3,500,-1.1197977355618502,-1.2977113070353443,6.50080103922931
DEEP_sf1,Adaptive,0.5,500,-0.4153947392389229,-0.2537114207352738,4.37570613957319
DEEP_sf10,HDBSCAN,0.01,500,7.555190301592016,0.10400608658702437,54.05327077846952
DEEP_sf10,HDBSCAN,0.05,500,-1.8061847026429583,-2.5633343619425357,23.655699450067363
DEEP_sf10,HDBSCAN,0.1,500,-1.7671204865914985,-2.394695947003979,13.151831875625119
DEEP_sf10,HDBSCAN,0.3,500,-1.443296823388346,-1.4675904253720167,6.644073190176784
DEEP_sf10,HDBSCAN,0.5,500,-1.20818117805785,-1.0703264005405502,4.372151235518171
DEEP_sf10,MB_partial,0.01,500,13.927302059209408,-1.1592173243114732,65.42659131348302
DEEP_sf10,MB_partial,0.05,500,-1.1874036483116606,-2.4102375447322717,21.56176119573137
DEEP_sf10,MB_partial,0.1,500,-1.974726763605162,-2.185159840128161,13.59764944453904
DEEP_sf10,MB_partial,0.3,500,-1.61061544788221,-1.6124065936756549,6.495587917852891
DEEP_sf10,MB_partial,0.5,500,-0.9300949738356816,-0.7612028090668777,4.719870352202005
DEEP_sf10,Hilbert,0.01,500,13.983953056981958,-0.7720115877978984,67.18944581931794
DEEP_sf10,Hilbert,0.05,500,0.6071693628281082,-1.2707242233947849,25.421303282411028
DEEP_sf10,Hilbert,0.1,500,-1.2141381797427582,-1.5656983192204579,13.951507533776649
DEEP_sf10,Hilbert,0.3,500,-1.7063796931758726,-1.6693353816480394,6.618476890117943
DEEP_sf10,Hilbert,0.5,500,-1.081268284277103,-0.915016294013675,4.645441059225875
DEEP_sf10,sparse_rp,0.01,500,11.429926120738722,0.04940226151315559,60.73930599889247
DEEP_sf10,sparse_rp,0.05,500,0.6757283590417124,-0.6754756116915008,23.583917429309288
DEEP_sf10,sparse_rp,0.1,500,-0.4585227927161253,-0.4693681986721424,14.556225717848939
DEEP_sf10,sparse_rp,0.3,500,-0.9399231037690728,-0.8835722307057299,6.606421010313872
DEEP_sf10,sparse_rp,0.5,500,-0.7600550685470211,-0.7175113068934402,4.666049313369096
DEEP_sf10,Adaptive,0.01,500,12.316001728758208,0.0,62.261195308842076
DEEP_sf10,Adaptive,0.05,500,-0.59554881924605,-3.2471033160112324,21.532795533012415
DEEP_sf10,Adaptive,0.1,500,-0.35999567220719253,-0.33328466899197806,13.540275411032678
DEEP_sf10,Adaptive,0.3,500,-0.6644128064153815,-0.8368347338935604,7.247241380828215
DEEP_sf10,Adaptive,0.5,500,-0.6379233955183425,-0.5277081592871018,4.820384085881969
SIFT_sf1,HDBSCAN,0.01,500,-2.5669594081196165,-18.75983759382253,67.03109500751503
SIFT_sf1,HDBSCAN,0.05,500,-28.960400007154792,-31.708152236818833,23.98039912468414
SIFT_sf1,HDBSCAN,0.1,500,-33.03150818664834,-34.24118381026618,16.985933727925413
SIFT_sf1,HDBSCAN,0.3,500,-27.517041835377704,-29.401085005452657,13.236752527116417
SIFT_sf1,HDBSCAN,0.5,500,-19.39482838472647,-23.424138263993445,12.932896379969204
SIFT_sf1,MB_partial,0.01,500,5.867845981143689,-15.167897318115987,77.38534005145674
SIFT_sf1,MB_partial,0.05,500,-28.50464342246554,-31.452440021465872,22.975367192063512
SIFT_sf1,MB_partial,0.1,500,-32.11055270993005,-32.16688699077768,16.76596387607977
SIFT_sf1,MB_partial,0.3,500,-27.324170400717588,-29.1923670326529,12.904125462563282
SIFT_sf1,MB_partial,0.5,500,-19.32786237905606,-22.991728989760723,13.004844808838094
SIFT_sf1,Hilbert,0.01,500,-4.326896255388107,-16.67449352765905,59.945744136059105
SIFT_sf1,Hilbert,0.05,500,-29.174268473237774,-30.810980191256192,21.48971102156344
SIFT_sf1,Hilbert,0.1,500,-32.53315012498965,-33.525636446350006,16.78461486935429
SIFT_sf1,Hilbert,0.3,500,-27.566179623632667,-29.50518860803323,12.830998661342418
SIFT_sf1,Hilbert,0.5,500,-19.60187815550458,-23.8603836014492,12.921554844462088
SIFT_sf1,sparse_rp,0.01,500,1.0668450482211367,-17.163482135649335,68.24330203482528
SIFT_sf1,sparse_rp,0.05,500,-27.913998675509283,-30.423624416383696,23.612426738716547
SIFT_sf1,sparse_rp,0.1,500,-31.740894212135807,-32.92520932420692,18.222112585641447
SIFT_sf1,sparse_rp,0.3,500,-26.375652536933718,-28.68112985775504,13.23368895954448
SIFT_sf1,sparse_rp,0.5,500,-18.757761206365657,-22.689939141814037,12.93794391483984
SIFT_sf1,Adaptive,0.01,500,2.786952924692854,-9.631192701863386,67.86123872940905
SIFT_sf1,Adaptive,0.05,500,-28.325567590300526,-30.593120725248987,23.479785895588122
SIFT_sf1,Adaptive,0.1,500,-30.94829490924418,-32.37048717145373,18.68545493049833
SIFT_sf1,Adaptive,0.3,500,-26.359588649202532,-28.43019919857509,13.061238297425847
SIFT_sf1,Adaptive,0.5,500,-18.62001775947483,-22.388816397844877,12.897740515834194
SIFT_sf10,HDBSCAN,0.01,500,11.97326765231426,-3.349193265174684,75.44332140366303
SIFT_sf10,HDBSCAN,0.05,500,-6.238737100851274,-7.965624611836124,23.59740678906944
SIFT_sf10,HDBSCAN,0.1,500,-10.523510948832659,-11.944228119636739,16.137880382510122
SIFT_sf10,HDBSCAN,0.3,500,-11.487838854101359,-12.129985865001675,9.233676481947482
SIFT_sf10,HDBSCAN,0.5,500,-8.433839007021197,-8.988249259833122,6.632632881975511
SIFT_sf10,MB_partial,0.01,500,13.91071980250458,-5.6673553568769295,76.58240926967682
SIFT_sf10,MB_partial,0.05,500,-5.7724876234947855,-7.845272606280196,24.561607003298487
SIFT_sf10,MB_partial,0.1,500,-10.342736276861952,-11.897595508670388,15.406373166496065
SIFT_sf10,MB_partial,0.3,500,-11.598276481986403,-12.400952263453107,9.138032234028937
SIFT_sf10,MB_partial,0.5,500,-8.301051960486276,-9.095945950253913,6.783690142630599
SIFT_sf10,Hilbert,0.01,500,8.397088942116032,-2.025995637594074,64.38915880520105
SIFT_sf10,Hilbert,0.05,500,-7.20925496757599,-8.279511667138706,24.194747761234957
SIFT_sf10,Hilbert,0.1,500,-11.012482843417184,-12.366644697504137,14.565387318303848
