dataset,sel,L1_random_vs_bern,L2_km20_minus_random,total_km20_vs_bern,L1_share,L2_share
DEEP,0.01,-10.668397053685432,19.600629878353228,8.932232824667796,-119.4,219.4
DEEP,0.05,0.7889372303400929,1.0647797609597895,1.8537169912998823,42.6,57.4
DEEP,0.1,-1.740030883279887,-2.4466839983663706,-4.186714881646258,41.6,58.4
DEEP,0.3,-0.26452311652866073,-2.3588699011320973,-2.623393017660758,10.1,89.9
DEEP,0.5,2.2,-0.8883246339977247,1.3116753660022755,167.7,-67.7
SIFT,0.01,12.11140704839103,-11.578538795858847,0.5328682525321817,2272.9,-2172.9
SIFT,0.05,0.050175092376317565,-4.4423443272544425,-4.392169234878125,-1.1,101.1
SIFT,0.5,-1.010024802140712,-2.061366969290323,-3.0713917714310353,32.9,67.1
