dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table_pair,D_deep_target,D_wiki_target
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7031696,81411,97473.43565525384,1.1973005571145647,385,385,partsupp_deep_10__part_wiki_10,1.2324044704437256,2.507117748260498
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,4389879,80395,68004.72255017709,1.182197309027778,385,385,partsupp_deep_10__part_wiki_10,1.2300347089767456,2.5788276195526123
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,332506,80366,116687.46837578007,1.4519506803347195,385,385,partsupp_deep_10__part_wiki_10,1.2145559787750244,2.8943839073181152
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7799146,79734,118954.29246078597,1.4918891873076225,385,385,partsupp_deep_10__part_wiki_10,1.2312073707580566,1.9963270425796509
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,3041529,81824,103140.4958677686,1.2605164238825846,385,385,partsupp_deep_10__part_wiki_10,1.1483227014541626,2.931670904159546
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,737452,74993,109077.4160904031,1.4545013013268318,385,385,partsupp_deep_10__part_wiki_10,1.2798588275909424,2.3986403942108154
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5167757,80637,75290.94282341035,1.071005315860215,385,385,partsupp_deep_10__part_wiki_10,1.252101182937622,2.574997663497925
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1813464,80166,82037.44307640412,1.0233445984133438,385,385,partsupp_deep_10__part_wiki_10,1.2436870336532593,3.049060821533203
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6207689,79967,66385.56248945859,1.2045842047764228,385,385,partsupp_deep_10__part_wiki_10,1.1708049774169922,2.674319267272949
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7385883,82290,69731.82661494351,1.1800924196981422,385,385,partsupp_deep_10__part_wiki_10,1.1777342557907104,3.0078787803649902
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1110231,80866,121437.00455388766,1.5017065831608791,385,385,partsupp_deep_10__part_wiki_10,1.2301665544509888,2.9319965839385986
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,4260736,78832,82037.44307640412,1.0406616992643103,385,385,partsupp_deep_10__part_wiki_10,1.2347526550292969,3.1932268142700195
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7241835,80396,60232.75425872829,1.3347554995519713,385,385,partsupp_deep_10__part_wiki_10,1.2067705392837524,2.558413028717041
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5886526,79825,89053.80333951762,1.1156129450612917,385,385,partsupp_deep_10__part_wiki_10,1.0852018594741821,2.2235827445983887
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,7903428,80432,69623.8826108956,1.1552357751937985,385,385,partsupp_deep_10__part_wiki_10,1.1325520277023315,2.916757822036743
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2010126,78927,99740.25974025973,1.2637026586625582,385,385,partsupp_deep_10__part_wiki_10,1.1659375429153442,2.8587276935577393
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,64433,81219,89713.61179093183,1.1045889729119027,383,383,partsupp_deep_10__part_wiki_10,1.2458291053771973,3.031548500061035
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,6427842,77929,84587.11968859288,1.0854382795697735,383,383,partsupp_deep_10__part_wiki_10,1.127610683441162,3.0337376594543457
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,1934109,79980,100621.04179590834,1.2580775418343129,383,383,partsupp_deep_10__part_wiki_10,1.1786408424377441,2.710279941558838
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,2037726,78167,61081.60802786848,1.279714181138393,383,383,partsupp_deep_10__part_wiki_10,1.253166913986206,2.4737722873687744
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,944719,80661,59554.56782717177,1.3544049254807693,383,383,partsupp_deep_10__part_wiki_10,1.0694438219070435,2.861333131790161
multi_join_deep_wiki,adaptive_sampling,0.01,0.1,5909334,77626,70625.60928222293,1.0991197214285715,383,383,partsupp_deep_10__part_wiki_10,1.2997132539749146,2.626377820968628
