method,paradigm,tier,n_obs,intercept,slope_log_dim,slope_se,slope_p,r2
MiniBatch,P1_Cluster,L,180,-0.6113131171530994,0.14278612676877242,0.03172203303826978,1.2180703779158478e-05,0.10219127530895422
HDBSCAN,P1_Cluster,L,180,-1.2081713738108713,0.2568791529736254,0.03583319054654705,1.9456337047328397e-11,0.2240322068145989
GMM,P1_Cluster,L,180,-1.1932406506274822,0.2626269221089259,0.03562533262728953,6.102715503888848e-12,0.23389829602232937
Hilbert,P2_Spatial,L,180,-1.3396263285193117,0.280802405921204,0.037264687971449814,2.373478566936708e-12,0.24184819135132185
faiss_ivf,P2_Spatial,L,180,-1.4911996661374654,0.3197309796112147,0.0346286555845602,7.772129839050823e-17,0.32383856657635435
