method,n_single,mean_single,median_single,std_single,n_multi,mean_multi,median_multi,std_multi,paradigm,tier,consistency_ratio,rank_single,rank_multi,top_tier_filter
MiniBatch,120,1.1412260230112579,0.966721478650795,0.5295355635923229,60,1.582721233965208,1.629919521295721,0.69487503121764,P1_Cluster,L,1.3868604483702653,5.0,1.0,0
GMM,120,1.093419218102717,1.0504753867115943,0.4416324149883089,60,2.145710641863683,1.9566990001891778,1.3487313911374064,P1_Cluster,L,1.9623860696237667,4.0,3.0,0
HDBSCAN,120,1.0370755209649063,0.970044200931401,0.41213581458397286,60,2.0905679731000535,1.8875246128118923,1.4174904747640524,P1_Cluster,L,2.015830024755542,2.0,2.0,1
faiss_ivf,120,1.0751636400810753,0.9938820848878089,0.5324823311565532,60,2.2204982497239287,2.127621852960708,1.055078410020333,P2_Spatial,L,2.0652653856081726,3.0,5.0,0
Hilbert,120,1.0249635967216417,0.9397131314324586,0.43161497038628827,60,2.199438662066517,1.8409915365116407,1.64834293125626,P2_Spatial,L,2.145870028068751,1.0,4.0,0
