term,coef,std_err,t_value,p_value,ci_low,ci_high
const,-0.2095728266959959,0.017030732639957843,-12.305567301567049,2.893032270777354e-32,-0.24299760021583566,-0.17614805317615612
log_dim,0.04508899742909505,0.00549641018767636,8.203353805396517,8.075188244888047e-16,0.03430165964515358,0.05587633521303652
selectivity,-0.302213427756218,0.4436284026892467,-0.681231016599072,0.4959013470781105,-1.1728852420777103,0.5684583865652744
is_multi,0.45587163017906424,0.034823087660144476,13.091074365034432,5.862625005948188e-36,0.3875273115341361,0.5242159488239924
par_P2_Spatial,0.009934755597378886,0.0333405210861951,0.2979784140654133,0.765788719293104,-0.055499855461272105,0.07536936665602988
