method,mean_q_error,median_q_error,mean_wall_clock_ms,mean_peak_rss_mb,paradigm,tier,pareto_optimal
MiniBatch,1.2883910933292413,1.1104678789374338,10.762548323515,279.00818736849703,P1_Cluster,L,True
HDBSCAN,1.388239671676622,1.131617169509242,11.218405926780052,289.2607651426521,P1_Cluster,L,False
Hilbert,1.4164552851699335,1.100082236853432,10.91858670688867,301.35073083989334,P2_Spatial,L,False
GMM,1.444183026023039,1.1567872399210315,10.839502579066972,290.628435697028,P1_Cluster,L,False
faiss_ivf,1.4569418432953598,1.1178437568590818,10.630807575986099,306.34004366357397,P2_Spatial,L,True
