method,sel,DEEP_1M,DEEP_8M,SIFT_1.5M,SIFT_1M,SIFT_8M
pca1d,0.05,-0.1102,,-0.2272,-0.1335,-0.0631
pca1d,0.1,-0.1745,-0.1617,-0.4892,-0.2882,-0.1443
pca1d,0.3,-0.2302,-0.1224,-0.7654,-0.3326,-0.3405
pca1d,0.5,-0.3057,,-0.7705,-0.1827,-0.4004
pq,0.01,0.2122,,0.2672,0.2065,0.2004
pq,0.05,0.1112,,0.2266,0.1439,0.1477
pq,0.1,0.0982,0.0415,-0.1173,-0.0319,0.0272
pq,0.3,-0.0212,-0.0154,-0.347,-0.1834,-0.2176
pq,0.5,0.0142,,-0.3929,-0.0283,-0.2014
random_proj,0.01,0.1241,,0.2272,0.3013,0.3144
random_proj,0.05,0.1906,,0.2816,0.1149,0.1577
random_proj,0.1,0.2249,0.0879,0.2434,0.1932,0.6359
random_proj,0.3,0.2725,0.1338,0.3672,0.5859,0.6482
random_proj,0.5,0.3284,,0.3952,0.6881,0.5998
sobol,0.01,0.0585,,0.0699,0.0626,0.0925
sobol,0.05,0.0377,,0.0853,-0.0216,0.1096
sobol,0.1,0.0225,0.0718,-0.1441,-0.1298,0.0354
sobol,0.3,-0.0633,0.1623,-0.4646,-0.1942,-0.1895
sobol,0.5,0.0207,,-0.5885,-0.0308,-0.1846
sparse_rp,0.01,-0.1022,,0.0298,-0.055,0.0763
sparse_rp,0.05,-0.1275,,-0.2554,-0.0973,-0.0539
sparse_rp,0.1,-0.0682,-0.1383,-0.509,-0.2395,-0.1154
sparse_rp,0.3,-0.1035,-0.0958,-0.6145,-0.2729,-0.268
sparse_rp,0.5,-0.0959,,-0.6165,-0.1553,-0.2966
spectral,0.01,0.1491,,0.1634,-0.0049,
spectral,0.05,0.0733,,0.0683,-0.0847,
spectral,0.1,0.0616,-0.0168,-0.2541,-0.272,
spectral,0.3,-0.0453,0.0169,-0.5847,-0.3525,
spectral,0.5,-0.0335,,-0.6347,-0.2084,
zorder,0.01,-0.0324,,0.0403,-0.0155,0.0131
zorder,0.05,-0.1552,,-0.3061,-0.2289,-0.1255
zorder,0.1,-0.174,-0.1519,-0.5243,-0.3753,-0.168
zorder,0.3,-0.2407,-0.1774,-0.8458,-0.4098,-0.3796
zorder,0.5,-0.266,,-0.8473,-0.2651,-0.4425
