dataset,mode,selectivity,seed,query_id,true_card,est,q_error,sample_size_used_t1,sample_size_used_t2,table,D1_target,D2_target
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6288378,79815,68004.72255017709,1.1736684895833334,385,385,partsupp_deep_sift_10,1.2452954053878784,492.21063232421875
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,1370862,79848,136980.94113678526,1.7155212545935434,385,385,partsupp_deep_sift_10,1.2117983102798462,497.7179870605469
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,2964065,78857,68004.7225501771,1.1595812326388888,385,385,partsupp_deep_sift_10,1.2284141778945923,512.8976440429688
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7031696,78774,70271.546635183,1.1209942540322582,385,385,partsupp_deep_sift_10,1.2324044704437256,485.07708740234375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,4389879,80734,64766.4024287401,1.2465413697916665,385,385,partsupp_deep_sift_10,1.2300347089767456,601.8147583007812
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,332506,79899,136549.16512059368,1.7090222045406536,385,385,partsupp_deep_sift_10,1.2145559787750244,513.7750854492188
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7799146,79058,61528.08230730309,1.2849092160087718,385,385,partsupp_deep_sift_10,1.2312073707580566,519.1454467773438
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,3041529,79571,92561.98347107437,1.1632627901003427,385,385,partsupp_deep_sift_10,1.1483227014541626,488.72784423828125
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,737452,80194,98930.67970990049,1.2336419147305346,385,385,partsupp_deep_sift_10,1.2798588275909424,434.2889404296875
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,5167757,81537,72862.2027323326,1.1190575763888888,385,385,partsupp_deep_sift_10,1.252101182937622,513.8399658203125
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,1813464,78991,75884.63484567382,1.0409353640647225,385,385,partsupp_deep_sift_10,1.2436870336532593,476.1165771484375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6207689,80740,86301.23123629617,1.0688782664886818,385,385,partsupp_deep_sift_10,1.1708049774169922,599.5791625976562
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7385883,80429,63579.01838421319,1.2650242492572157,385,385,partsupp_deep_sift_10,1.1777342557907104,450.46942138671875
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,1110231,78307,85005.90318772137,1.0855466712774258,385,385,partsupp_deep_sift_10,1.2301665544509888,546.38427734375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,4260736,79280,86355.20323832013,1.0892432295449057,385,385,partsupp_deep_sift_10,1.2347526550292969,567.0369262695312
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7241835,79963,46631.80974869287,1.7147736798321758,385,385,partsupp_deep_sift_10,1.2067705392837524,531.5641479492188
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,5886526,80481,56994.43413729128,1.4120852539062498,385,385,partsupp_deep_sift_10,1.0852018594741821,548.0302734375
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7903428,80402,71944.67869792545,1.1175531179669917,385,385,partsupp_deep_sift_10,1.1325520277023315,483.0943908691406
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,2010126,78819,106540.73199527744,1.3517138252867638,385,385,partsupp_deep_sift_10,1.1659375429153442,469.8636779785156
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,64433,80315,57264.007526126705,1.4025389327380953,383,383,partsupp_deep_sift_10,1.2458291053771973,515.2754516601562
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,6427842,80597,55791.50447545487,1.444610622311828,383,383,partsupp_deep_sift_10,1.127610683441162,518.9891967773438
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,1934109,80308,90804.35479142948,1.1307012351375887,383,383,partsupp_deep_sift_10,1.1786408424377441,476.6014099121094
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,2037726,78032,54973.44722508163,1.4194489146825398,383,383,partsupp_deep_sift_10,1.253166913986206,593.3135986328125
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,944719,78844,93585.74944269849,1.186973637089677,383,383,partsupp_deep_sift_10,1.0694438219070435,531.5699462890625
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,5909334,78622,74661.35838406424,1.0530480787070855,383,383,partsupp_deep_sift_10,1.2997132539749146,477.7635498046875
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7834709,80309,102529.84204677925,1.276691803493746,383,383,partsupp_deep_sift_10,1.269679069519043,541.9563598632812
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,7376316,80487,61190.68232791825,1.315347319852941,383,383,partsupp_deep_sift_10,1.1346229314804077,478.3782043457031
partsupp_deep_sift_10,adaptive_sampling,0.01,0.1,5165847,79564,97403.34994444027,1.224213839732043,383,383,partsupp_deep_sift_10,1.2349876165390015,512.4940795898438
