cell,cell_kind,baseline,selectivity,seed,query_id,true_card,est,q_error,sample_size_used,sample_size_total,wall_clock_ms,D1_target,D2_target,reused_from
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,145860,8141,6735.705852588971,1.2086335386618587,770,770,1.274198293685913,364.46563720703125,2.7791433334350586,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,359095,8021,9186.034744476303,1.1452480668839675,770,770,0.8250707760453224,383.42626953125,2.330082654953003,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,286093,8295,9736.549165120594,1.173785312250825,770,770,0.7002595812082291,385.6861267089844,2.1552388668060303,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,781121,7996,7189.07066959015,1.1122439001501503,770,770,0.6939787417650223,408.2724609375,2.2795467376708984,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,142780,8214,7987.856299544612,1.0283109375,770,770,0.6949212402105331,357.7455749511719,2.7598116397857666,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,428790,8003,12586.270871985156,1.5726940987111278,770,770,0.6784368306398392,373.8810119628906,2.257038116455078,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,322723,8230,5051.779389441727,1.629128939636752,770,770,0.6927447393536568,378.48870849609375,2.8452041149139404,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,588557,8065,11161.410018552875,1.383931806392173,770,770,0.6988923996686935,372.0467529296875,2.8811392784118652,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,263638,8119,6989.374262101536,1.161620439189189,770,770,0.7141698151826859,368.9966125488281,3.1491057872772217,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,693614,7984,4684.769775678866,1.7042459677419357,770,770,0.6986949592828751,392.36932373046875,2.3145997524261475,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,546912,8033,8786.641929499072,1.093818240943492,770,770,0.702468678355217,361.6460876464844,3.094848394393921,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,444449,8133,8851.408331927812,1.0883325134547908,770,770,0.7011312991380692,391.6747131347656,2.622706890106201,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,663176,8132,7253.83707201889,1.1210618489583335,770,770,0.6952481344342232,337.7731628417969,2.3369600772857666,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,763999,8127,10443.582391634338,1.2850476672369064,770,770,0.7053185254335403,372.2793273925781,2.7435648441314697,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,782168,7746,8419.632315736213,1.0869651840609622,770,770,0.6875460967421532,349.2619323730469,2.321883201599121,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,673362,8301,7189.07066959015,1.1546694115990992,770,770,0.7118834182620049,369.7781677246094,2.6439919471740723,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,83904,7982,4857.480182155507,1.6432388194444445,770,770,16.003726981580257,319.8409118652344,2.928945541381836,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,695261,8056,7658.627087198515,1.0518856589147287,770,770,0.7329797372221947,324.0319519042969,2.5670652389526367,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,386245,8226,7858.323494687131,1.0467881610576923,770,770,0.7404377683997154,381.8100280761719,2.7859504222869873,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,69504,8210,7178.27626918536,1.1437286184210527,770,770,0.7277214899659157,352.2740478515625,3.0938942432403564,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,681535,8136,8209.141507842807,1.0089898608459693,770,770,0.7202113047242165,364.0436706542969,3.186352491378784,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,696279,8138,11161.410018552875,1.3715175741647672,770,770,0.7215356454253197,371.8330078125,2.6614370346069336,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,340223,8023,10578.512396694214,1.3185232951133259,770,770,0.727587379515171,387.0399169921875,2.7366652488708496,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,690943,8117,8187.5527070332255,1.0086919683421494,770,770,0.7296986877918243,385.08843994140625,3.105254888534546,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,636616,7950,8549.165120593692,1.0753666818356846,770,770,0.7216259837150574,376.94268798828125,2.822864055633545,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,48106,8045,8187.5527070332255,1.0177194166604382,770,770,0.6793281063437462,391.63043212890625,2.8765604496002197,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,352770,8107,6562.99544611233,1.235259123149671,770,770,0.6706239655613899,365.34051513671875,3.0234601497650146,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,536954,8142,5699.443413729128,1.428560546875,770,770,0.6910683587193489,408.37432861328125,2.944667100906372,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,752067,7984,6217.574633159049,1.2841019965277778,770,770,0.7069576531648636,351.4053039550781,2.5798802375793457,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,602570,8029,8630.123123629617,1.074868990363634,770,770,0.6899954751133919,386.77215576171875,2.6612396240234375,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,345404,8017,8187.5527070332255,1.021273881381218,770,770,0.6849272176623344,380.667724609375,2.7372653484344482,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,628777,7851,9893.067970990049,1.2601029131308175,770,770,0.687427818775177,390.7913818359375,2.7295992374420166,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,137071,8113,7431.944678697924,1.091638911583152,770,770,0.6987424567341805,387.11431884765625,2.437206745147705,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,296404,8012,7556.0802833530115,1.060338125,770,770,0.7015541195869446,364.69561767578125,3.154475212097168,
multi_join_yfcc_wiki_1,join,B1,0.01,0.1,703153,7997,7863.7206948895255,1.0169486316060399,770,770,0.7018549367785454,385.7873840332031,3.1921608448028564,
