phase,anchor,n_pairs,plan_recovery_pct,mean_abs_g,pct_small_g,pct_medium_g,pct_large_g,pct_p_holm_sig
phase2,baseline,180,92.77777777777777,13.053965504993872,0.0,0.0,100.0,100.0
phase2,B1,168,95.23809523809524,0.34070972698065277,86.9047619047619,4.761904761904762,8.333333333333334,7.738095238095238
phase3,baseline,120,90.83333333333333,2.1766513894592854,47.5,2.5,50.0,50.0
phase3,B1,112,90.17857142857143,0.32938160997871624,90.17857142857143,5.357142857142857,4.464285714285714,4.464285714285714
phase4_extension,baseline,450,92.22222222222223,1.7371775203486939,26.88888888888889,8.666666666666666,64.44444444444444,50.44444444444444
phase4_extension,B1,420,92.38095238095238,0.2088436282851935,94.28571428571429,5.476190476190476,0.23809523809523808,0.0
