anchor,plan_recovered,n,n_small,n_medium,n_large,pct_small,pct_medium,pct_large,mean_abs_g,median_abs_g,n_p_holm_sig,pct_p_holm_sig,n_ci_excludes_zero,pct_ci_excludes_zero
baseline,True,646,151,27,468,23.374613003095977,4.179566563467493,72.44582043343654,4.733445816339431,2.2526941968830956,416,64.39628482972137,502,77.70897832817337
baseline,False,59,6,2,51,10.169491525423728,3.389830508474576,86.44067796610169,5.246659375487113,2.574979047346432,51,86.44067796610169,53,89.83050847457628
baseline,N/A,0,0,0,0,,,,,,0,,0,
B1,True,607,560,32,15,92.25700164744646,5.271828665568369,2.471169686985173,0.2448954632377627,0.2058190124158531,13,2.1416803953871497,82,13.509060955518946
B1,False,51,45,1,5,88.23529411764706,1.9607843137254901,9.803921568627452,0.449992145113786,0.2373179355441787,5,9.803921568627452,9,17.647058823529413
B1,N/A,0,0,0,0,,,,,,0,,0,
