metric,point_estimate,naive_ci_lo,naive_ci_hi,naive_width,cluster_ci_lo,cluster_ci_hi,cluster_width,width_ratio_cluster_over_naive,n_total,n_clusters,B
mean_median_diff_ms_B1,14.506026320658359,-1.0686942378067341,30.99416055800975,32.062854795816484,-16.80584768404619,49.925091403723584,66.73093908776977,2.081253821992068,700,50,2000
pct_p_holm_sig_B1,2.571428571428571,1.4285714285714286,3.7142857142857144,2.2857142857142856,0.14285714285714285,5.857142857142858,5.714285714285714,2.5,700,50,2000
