factor,df,sum_sq,mean_sq,F,PR(>F),pct_ss,p_typ3
"C(cell_str, Sum)",52.0,988.1204935783551,19.002317184199136,514.8509731487974,0.0,56.81444192614703,0.0
"C(cond_str, Sum)",3.0,394.38293084698796,131.46097694899598,3561.818869625122,0.0,22.676026119169926,0.0
"C(cell_str, Sum):C(cond_str, Sum)",156.0,256.4599527980898,1.6439740563980114,44.54202266825092,0.0,14.745801943509708,0.0
Residual,2716.0,100.2431697013981,0.03690838354248826,,,5.763730011173346,
