dataset,sf,anchor,n_pairs,plan_recovery_pct,mean_abs_g,pct_large_g,pct_p_holm_sig,note
DEEP,10,B1,280,93.21428571428571,0.3361784801798781,6.785714285714286,6.428571428571429,
SIFT,10,B1,154,94.15584415584415,0.1998880828529822,0.0,0.0,
SSN,10,B1,112,92.85714285714286,0.2265151052865058,0.8928571428571429,0.0,
YFCC,10,B1,112,86.60714285714286,0.1903456659313503,0.0,0.0,
