cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,wilcoxon_p,significant_05
DEEP_sf10,HDBSCAN,0.1,500,-0.6074642411529746,-1.7004765478385528,0.006135687156909877,True
DEEP_sf10,HDBSCAN,0.3,500,-0.5409401817071501,-0.5365034493465706,0.017886782473335448,True
DEEP_sf10,HDBSCAN,0.5,500,-0.46970126493253533,-0.3845164350202718,0.0109692049618946,True
DEEP_sf10,MB_partial,0.01,480,14.23676494842047,2.1822828589230956,0.28319559199950506,False
DEEP_sf10,MB_partial,0.05,500,1.2867218268701117,0.41461117241408396,0.6062608468719158,False
DEEP_sf10,MB_partial,0.1,500,-0.965202688476235,-1.4895576771702181,0.001011117183368185,True
DEEP_sf10,MB_partial,0.3,500,-0.7036383266526327,-0.44829951524191847,0.00650946071220643,True
DEEP_sf10,MB_partial,0.5,500,-0.19856426507154076,-0.09559378340342456,0.2078627214886971,False
DEEP_sf10,Hilbert,0.01,479,13.727178948243976,0.7037342125328122,0.5142394024476271,False
DEEP_sf10,Hilbert,0.05,500,2.9629871611192495,1.3926498695379896,0.5884412408025005,False
DEEP_sf10,Hilbert,0.1,500,-0.18214235567752707,-1.029847127563404,0.07324850372525592,False
DEEP_sf10,Hilbert,0.3,500,-0.7920673513362635,-0.7028152989909371,0.002667020325216777,True
DEEP_sf10,Hilbert,0.5,500,-0.3474891906743206,-0.30408348551285547,0.028184857217290218,True
DEEP_sf10,sparse_rp,0.01,479,11.527408127415354,0.3742020691173313,0.8765122354732813,False
DEEP_sf10,sparse_rp,0.05,500,3.0625090776383117,0.8014842659159576,0.21055558563345012,False
DEEP_sf10,sparse_rp,0.1,500,0.5522423416879532,0.1412057769001876,0.6750680406153708,False
DEEP_sf10,sparse_rp,0.3,500,-0.031326290660037476,-0.00832454554227819,0.6911926680170699,False
DEEP_sf10,sparse_rp,0.5,500,-0.019454524562619212,0.10696648691341455,0.5432397540267625,False
SIFT_sf1,HDBSCAN,0.01,465,10.758393276747944,-2.588984374999982,0.044651858555135766,True
SIFT_sf1,HDBSCAN,0.05,500,1.4420833676081761,-0.7153740677087177,0.22891518750457385,False
SIFT_sf1,HDBSCAN,0.1,500,-1.837737384883933,-2.069156974352685,7.000716861638545e-06,True
SIFT_sf1,HDBSCAN,0.3,500,-1.4364576125804476,-1.311397733699923,1.4056961754801062e-08,True
SIFT_sf1,HDBSCAN,0.5,500,-0.9147149124758837,-0.7374901289460206,1.4184494700306355e-08,True
