cell,method,n_paired_total,mean_delta_pct_h2h,median_delta_pct_h2h,n_better,p_better,wilcoxon_p,significant_05,method_better
DEEP_sf1,HDBSCAN,2484,1.7814752865596084,-0.5281654184564365,1311,0.5277777777777778,0.0007993661257008264,True,True
DEEP_sf1,MB_partial,2475,2.799580386576675,-0.6867784299217906,1335,0.5393939393939394,7.849755441842303e-06,True,True
DEEP_sf1,Hilbert,2485,2.7998770824493837,-0.499379648544626,1297,0.5219315895372233,0.004582583417954318,True,True
DEEP_sf1,sparse_rp,2484,3.065735823253074,-0.11917734149932298,1255,0.5052334943639292,0.33768001231779765,False,True
DEEP_sf10,HDBSCAN,2477,1.6095317633745652,-0.6747958739150859,1341,0.5413807024626565,0.0001886673873358745,True,True
DEEP_sf10,MB_partial,2480,2.638429616361563,-0.3347428798900194,1285,0.5181451612903226,0.03978572091507492,True,True
DEEP_sf10,Hilbert,2479,2.983446086294648,-0.2202170171522625,1272,0.5131101250504235,0.19424511467005123,False,True
DEEP_sf10,sparse_rp,2479,2.9461935438014355,0.21451932923336503,1200,0.48406615570794675,0.5404742005708998,False,False
SIFT_sf1,HDBSCAN,2465,1.4723081551812371,-1.1565249987023518,1405,0.5699797160243407,1.0367165035639118e-11,True,True
SIFT_sf1,MB_partial,2470,3.4679749893491785,-0.8159917153205027,1327,0.537246963562753,0.001356728228258682,True,True
SIFT_sf1,Hilbert,2478,1.0180885014598406,-1.1057067474958782,1400,0.5649717514124294,2.164082883255377e-11,True,True
SIFT_sf1,sparse_rp,2477,3.588816213962852,0.013377770106799816,1233,0.4977795720629794,0.8253053765302866,False,False
SIFT_sf10,HDBSCAN,2475,2.0173664294704983,-1.1240844094247426,1393,0.5628282828282828,7.957381766916264e-09,True,True
SIFT_sf10,MB_partial,2467,2.8528187156552147,-1.1421238868890393,1382,0.5601945683015809,3.669020677633663e-08,True,True
SIFT_sf10,Hilbert,2479,0.7746368215294694,-1.149684448006661,1414,0.5703912868091973,1.6349503369297486e-12,True,True
SIFT_sf10,sparse_rp,2481,2.7831423888280478,-0.1335958000536291,1259,0.5074566706972995,0.3449657496975962,False,True
SSN_sf1,HDBSCAN,2481,4.344925600912851,-0.06331343982390121,1249,0.5034260378879484,0.7773538677304463,False,True
SSN_sf1,MB_partial,2480,4.619024026716994,0.08784177750501504,1230,0.4959677419354839,0.39227006755790383,False,False
SSN_sf1,Hilbert,2478,3.8784193563194025,0.05105270570004409,1228,0.49556093623890235,0.584910944424249,False,False
SSN_sf1,sparse_rp,2481,3.5257977930476403,0.17775268022392335,1209,0.4873035066505441,0.20037550568740725,False,False
SSN_sf10,HDBSCAN,2480,2.4321039349453435,-0.3457492955707262,1288,0.5193548387096775,0.10350948553715678,False,True
SSN_sf10,MB_partial,2481,2.4336933257952658,-0.22628750000000405,1268,0.5110842402257154,0.21109739148159368,False,True
SSN_sf10,Hilbert,2479,3.3124829090162415,-0.08282164494592643,1256,0.5066559096409843,0.462005949899145,False,True
SSN_sf10,sparse_rp,2477,2.3943629460385703,-0.031662304138471,1245,0.5026241421073879,0.35560881830946245,False,True
WIKI_sf1,HDBSCAN,2484,2.964585035817481,-0.3051277715254732,1277,0.5140901771336553,0.2802078690967925,False,True
WIKI_sf1,MB_partial,2474,3.094726474194924,-0.2438041618656702,1276,0.5157639450282943,0.2555892114757633,False,True
WIKI_sf1,Hilbert,2485,3.074683628249013,-0.3641309210526184,1297,0.5219315895372233,0.16761556168256986,False,True
WIKI_sf1,sparse_rp,2483,4.475065801981724,0.3742020691173167,1184,0.47684252919855014,0.07871597265403855,False,False
WIKI_sf10,HDBSCAN,2468,2.4927264950396353,-0.3663509366088089,1299,0.5263371150729336,0.004874639809652653,True,True
WIKI_sf10,MB_partial,2457,182.73349389412024,0.3010773279461795,1193,0.48555148555148553,0.3363106387177225,False,False
WIKI_sf10,Hilbert,2475,2.4555893014508405,-0.3218971045868747,1285,0.5191919191919192,0.012674154642714739,True,True
WIKI_sf10,sparse_rp,2472,2.8425961695121233,0.049342105263159575,1227,0.4963592233009709,0.7602726941278841,False,False
YFCC_sf1,HDBSCAN,2479,1.9269596325365268,-0.967935140371158,1359,0.5482049213392497,2.7883424247494657e-07,True,True
YFCC_sf1,MB_partial,2482,2.343739425903451,-0.6853889405387943,1336,0.5382755842062853,2.666974585835169e-05,True,True
YFCC_sf1,Hilbert,2479,1.6891924430849101,-0.3974207228738047,1294,0.5219846712384025,0.002598467771625437,True,True
YFCC_sf1,sparse_rp,2485,4.828631098965501,0.04575119073511647,1237,0.4977867203219316,0.16342866200345918,False,False
YFCC_sf10,HDBSCAN,2477,2.6837136911924864,-0.622106922233469,1329,0.5365361324182479,0.00033417234244677795,True,True
YFCC_sf10,MB_partial,2479,2.6821373187308146,-0.5694977684660951,1329,0.536103267446551,0.0008799122669420069,True,True
YFCC_sf10,Hilbert,2480,2.176150301498702,-0.6923750412106894,1349,0.5439516129032258,3.9566129361380196e-05,True,True
YFCC_sf10,sparse_rp,2479,3.1509479528203226,-0.05432777485755751,1251,0.5046389673255345,0.4179980042532705,False,True
