cell,dataset,sf,dim,type_label,single_multi,mode,method,sample_selection_method_raw,paradigm,K,alpha,sel,ensemble_strategy,n_queries,trials,qe_trim,qe_mean,qe_median,final_size,size_median,size_min,size_max,trial_qe_list,trial_size_list,eta_final,content_hash,stage_source,file_path
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,faiss_ivf,faiss_ivf,P2,,,0.001,simple_average,1000,10,1.6233459743913932,1.6198573240241612,1.6348860309349669,5876.0,4836.0,4666.0,8977.0,"[1.643588644849435, 1.6814579673345997, 1.622642269132263, 1.6261834170204987, 1.464686010891019, 1.6910295011544054, 1.459873974498482, 1.7519314706119833, 1.6843252519866012, 1.5728547327623243]","[4701, 4666, 4837, 4704, 8694, 4714, 8977, 4842, 4835, 7790]",0.08179069375972306,e1efea6f6add7729afd66361945544a9,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_faiss_ivf.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,gmm,gmm,P1,,,0.001,simple_average,1000,10,1.7148401657051937,1.7057782528256102,1.7176056536155786,5290.9,4687.0,4192.0,8656.0,"[1.6886533967859743, 1.7125651912781634, 1.5399156454839813, 1.7398102654484888, 1.7991455571305717, 1.692371468083601, 1.7274012784102644, 1.7283469518504733, 1.7069266578315903, 1.7226461159529938]","[4617, 4646, 8656, 4728, 4192, 7581, 4830, 4488, 4731, 4440]",0.08179069375972306,3796b5cf2d945ac1025b7f61ee67213a,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_gmm.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,hilbert_real,hilbert_real,P2,,,0.001,simple_average,1000,10,1.5204683983504015,1.5107124615074428,1.5280280477071888,5389.1,4605.0,4342.0,8851.0,"[1.5084156186816204, 1.5146136876265215, 1.5281588293930561, 1.5278972660213215, 1.545441873100992, 1.4254442151982618, 1.3727877991435045, 1.5705896291277117, 1.5458561467362477, 1.5679195500451908]","[4619, 4590, 4728, 4651, 4511, 8478, 8851, 4530, 4591, 4342]",0.08179069375972306,5533c7a0b78cbb5d3ef2bd37ebd799c7,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_hilbert_real.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,hyperloglog,hyperloglog,P9,,,0.001,simple_average,1000,10,1.5283635903442017,1.5202167394353456,1.527390457455673,5339.1,4636.0,4508.0,8842.0,"[1.5545298709303987, 1.5200934712280374, 1.5254384161788324, 1.5763240390382, 1.5293424987325135, 1.5901311587711549, 1.3851275128286844, 1.5319049277478753, 1.4944588071714848, 1.4948166917262722]","[4621, 4726, 4714, 4508, 4625, 4511, 8842, 4537, 4647, 7660]",0.08179069375972306,6e2637b28ab61961cf98814f88c9670d,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_hyperloglog.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,ica_fastica,ica_fastica,P4,,,0.001,simple_average,1000,10,1.5506875716435164,1.5448914259516777,1.553066407546337,5246.8,4596.5,4226.0,8623.0,"[1.545957914319085, 1.5672739947526473, 1.5194566619725642, 1.4298751612687017, 1.6128603020813495, 1.6135385250999432, 1.5157838445316252, 1.4968565877370237, 1.5601749007735892, 1.5871363669802474]","[4561, 4633, 4501, 8623, 4398, 4421, 4632, 7631, 4842, 4226]",0.08179069375972306,9b24b90fada7fd2075c7b4bdae1e7dec,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_ica_fastica.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,lavallee_hidiroglou,lavallee_hidiroglou,P5,,,0.001,simple_average,1000,10,1.5592311768747251,1.5494718749459309,1.5563364852130084,5350.9,4658.0,4461.0,8828.0,"[1.574213652139257, 1.5302414270122995, 1.545600281479125, 1.5503004483617475, 1.6097793321362288, 1.5776042476446837, 1.41109000232528, 1.5832163879346717, 1.5615897126693112, 1.5510832577567057]","[4718, 4667, 4649, 4626, 4461, 4585, 8828, 4753, 4593, 7629]",0.08179069375972306,091915b864dcd2c3d93b7e2c5e950159,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_lavallee_hidiroglou.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,mhist2,mhist2,P6,,,0.001,simple_average,1000,10,1.6410593967774263,1.6365931478392013,1.6430430014727286,4957.6,4581.0,4466.0,8198.0,"[1.6323586104772245, 1.698667148520296, 1.6189890400788158, 1.654707917527451, 1.5118515184381582, 1.6035586639237716, 1.6537273924682325, 1.725604785734446, 1.6616038331205394, 1.6048625681030806]","[4653, 4476, 4745, 4590, 8198, 4794, 4527, 4466, 4572, 4555]",0.08179069375972306,aa1e6b9e467ed0391143076d52fd7264,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_mhist2.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,minibatch_partial,minibatch_partial,P1,,,0.001,simple_average,1000,10,1.611277870693515,1.6159816778868425,1.6319116001581464,6674.9,6360.5,4246.0,9175.0,"[1.521733609326033, 1.688030112768724, 1.4960268031515127, 1.6879389128419955, 1.5092626757303695, 1.7762445731637977, 1.4933492401565072, 1.7234076514131933, 1.6446642460756284, 1.6191589542406646]","[8707, 4986, 8648, 4920, 8802, 4246, 9175, 4570, 4960, 7735]",0.08179069375972306,5c4752a5e0c92f0a44c5728bff2eeed9,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_minibatch_partial.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,pca1d,pca1d,P4,,,0.001,simple_average,1000,10,1.5589439819421118,1.5493500127162037,1.5563887364285574,5131.2,4567.0,4162.0,8792.0,"[1.5525867006796175, 1.510679468859369, 1.5272856023815642, 1.609880526813398, 1.6074769770565966, 1.5601907721774975, 1.40040848577701, 1.6215397858481317, 1.5308219255195257, 1.5726298820493263]","[4622, 4589, 4545, 4162, 4251, 4522, 8792, 6531, 4802, 4496]",0.08179069375972306,bc89840b57aba40bdf919b5923a2cbda,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_pca1d.json
A5-scale-sf1,DEEP,1,96,Type 1,single,CaseB,rabitq_strat,rabitq_strat,P6,,,0.001,simple_average,1000,10,1.511627637944791,1.5127035764013967,1.5380370930808203,6003.0,4640.0,4434.0,8591.0,"[1.640975499512019, 1.3930391609436221, 1.5615327295115542, 1.5561332603139848, 1.4058806837106232, 1.5497510946683033, 1.5276719949854562, 1.5484021911761843, 1.520130457571473, 1.4235186916207483]","[4547, 8546, 4636, 4644, 8591, 4499, 4623, 4434, 7298, 8212]",0.08179069375972306,2906ee671d344bfea8cfda1c9045d325,v9_sel,_internal/cache/rq3/server_sync/v9_sel_sweep_0530/A5-scale-sf1_sel0.001/A5-scale-sf1_CaseB_rabitq_strat.json
