paradigm,mean_single,mean_multi,mean_degradation_ratio,n_methods
P4_DimReduction,1.216524667516992,1.218572294417947,1.001684524358978,2
P2_Spatial,1.2080270266664783,1.2213572520252798,1.0110915411526271,2
P1_Cluster,1.2010358010290847,1.2385647771493282,1.0312532080724068,3
P3_Streaming,1.2067980008798243,1.3137937306817133,1.0883747101096728,2
P5_Quasi-random,2.986450227662143,8.884091814980401,2.256566454829271,2
