cell,method,paradigm,dim,is_multi,n,ess,ess_ratio
multi_join_deep_wiki_1,GMM,P1_Cluster,864,1,2492,1560.0964430384818,0.626041911331654
partsupp_deep_wiki_1,GMM,P1_Cluster,864,1,2492,1560.0964430384818,0.626041911331654
partsupp_deep_wiki_10,Reservoir,P3_Streaming,864,1,2474,1556.881179049888,0.6292971621058561
multi_join_deep_wiki,Reservoir,P3_Streaming,864,1,2480,1564.6926282933389,0.6309244468924754
partsupp_deep_wiki_10,GMM,P1_Cluster,864,1,2492,1634.501256696612,0.6558993806968748
partsupp_deep_sift_10,Reservoir,P3_Streaming,224,1,2479,1734.4292508022056,0.6996487498193649
partsupp_deep_sift_10,GMM,P1_Cluster,224,1,2495,1786.5539293888291,0.7160536791137592
partsupp_deep_sift_1,GMM,P1_Cluster,224,1,2487,1797.7431694626084,0.7228561196069998
multi_join_deep_wiki,GMM,P1_Cluster,864,1,2494,1892.1568861521066,0.7586835950890564
partsupp_deep_wiki_10,LSH,P5_Quasi-random,864,1,2487,1899.9107716540111,0.7639367799171738
multi_join_deep_wiki,LSH,P5_Quasi-random,864,1,2488,1941.1544311817638,0.7802067649444389
multi_join_deep_wiki_1,LSH,P5_Quasi-random,864,1,2493,1988.599052150168,0.797673105555623
partsupp_deep_wiki_1,LSH,P5_Quasi-random,864,1,2493,1988.599052150168,0.797673105555623
multi_join_deep_wiki_1,MB_partial,P3_Streaming,864,1,2490,2029.9604437279904,0.8152451581236909
partsupp_deep_wiki_1,MB_partial,P3_Streaming,864,1,2490,2029.9604437279904,0.8152451581236909
partsupp_deep_wiki_10,faiss_ivf,P2_Spatial,864,1,2485,2075.0207281405883,0.8350184016662328
partsupp_deep_wiki_10,MB_partial,P3_Streaming,864,1,2488,2092.244284393039,0.84093419790717
partsupp_deep_sift_1,MB_partial,P3_Streaming,224,1,2484,2096.5805493979815,0.8440340375998315
partsupp_deep_sift_1,faiss_ivf,P2_Spatial,224,1,2492,2104.644730419046,0.8445604857219285
partsupp_deep_sift_1,HDBSCAN,P1_Cluster,224,1,2487,2146.384287253529,0.8630415308618934
multi_join_deep_wiki_1,MiniBatch,P1_Cluster,864,1,2486,2146.9728726739454,0.8636254515985299
partsupp_deep_wiki_1,MiniBatch,P1_Cluster,864,1,2486,2146.9728726739454,0.8636254515985299
partsupp_deep_wiki_10,MiniBatch,P1_Cluster,864,1,2494,2156.4669950642724,0.8646619867940146
multi_join_deep_wiki,MB_partial,P3_Streaming,864,1,2487,2151.9052291161884,0.8652614511926773
partsupp_deep_sift_10,MiniBatch,P1_Cluster,224,1,2491,2157.9026279977693,0.8662796579677917
partsupp_deep_sift_10,HDBSCAN,P1_Cluster,224,1,2493,2167.6020172093454,0.8694753378296612
partsupp_deep_sift_1,MiniBatch,P1_Cluster,224,1,2493,2175.767412446893,0.8727506668459258
multi_join_deep_wiki,HDBSCAN,P1_Cluster,864,1,2485,2173.3284456107976,0.8745788513524336
partsupp_deep_sift_10,faiss_ivf,P2_Spatial,224,1,2490,2184.3085861517698,0.8772323639163734
multi_join_deep_wiki_1,faiss_ivf,P2_Spatial,864,1,2492,2186.7493205151527,0.8775077530157114
partsupp_deep_wiki_1,faiss_ivf,P2_Spatial,864,1,2492,2186.7493205151527,0.8775077530157114
multi_join_deep_wiki_1,HDBSCAN,P1_Cluster,864,1,2493,2188.3430069821693,0.8777950288737141
partsupp_deep_wiki_1,HDBSCAN,P1_Cluster,864,1,2493,2188.3430069821693,0.8777950288737141
partsupp_deep_sift_10,MB_partial,P3_Streaming,224,1,2491,2187.286884310924,0.8780758267004913
partsupp_deep_wiki_10,HDBSCAN,P1_Cluster,864,1,2486,2183.539389031435,0.8783344284116794
multi_join_deep_wiki,faiss_ivf,P2_Spatial,864,1,2487,2190.826687930892,0.880911414527902
multi_join_deep_wiki,MiniBatch,P1_Cluster,864,1,2488,2194.119966729043,0.8818810155663356
partsupp_deep_wiki_10,PCA1D,P4_DimReduction,864,1,2488,2199.496800198493,0.8840421222662753
multi_join_deep_wiki_1,sparse_rp,P4_DimReduction,864,1,2490,2213.6108187726577,0.8890003288243605
partsupp_deep_wiki_1,sparse_rp,P4_DimReduction,864,1,2490,2213.6108187726577,0.8890003288243605
partsupp_deep_wiki_10,Hilbert,P2_Spatial,864,1,2488,2222.747208291486,0.8933871415962564
partsupp_deep_sift_10,PCA1D,P4_DimReduction,224,1,2486,2223.7475318833713,0.8945082590037696
partsupp_deep_sift_1,Hilbert,P2_Spatial,224,1,2489,2227.213938713155,0.8948227957867236
multi_join_deep_wiki_1,PCA1D,P4_DimReduction,864,1,2491,2233.2351707379507,0.8965215458602773
partsupp_deep_wiki_1,PCA1D,P4_DimReduction,864,1,2491,2233.2351707379507,0.8965215458602773
multi_join_deep_wiki,Hilbert,P2_Spatial,864,1,2490,2233.115044591493,0.8968333512415635
partsupp_deep_sift_1,sparse_rp,P4_DimReduction,224,1,2483,2227.3688004770524,0.8970474428018738
multi_join_deep_wiki,PCA1D,P4_DimReduction,864,1,2487,2232.3175572595937,0.8975945143786063
partsupp_deep_wiki_10,sparse_rp,P4_DimReduction,864,1,2492,2240.2816849993474,0.8989894402084059
multi_join_deep_wiki_1,Hilbert,P2_Spatial,864,1,2488,2243.393089694645,0.9016853254399698
partsupp_deep_wiki_1,Hilbert,P2_Spatial,864,1,2488,2243.393089694645,0.9016853254399698
partsupp_deep_sift_10,sparse_rp,P4_DimReduction,224,1,2493,2260.1231037531666,0.9065876870249364
multi_join_deep_wiki,sparse_rp,P4_DimReduction,864,1,2489,2256.797334379116,0.9067084509357637
partsupp_deep_sift_1,PCA1D,P4_DimReduction,224,1,2493,2270.6927952809215,0.910827434930173
partsupp_deep_sift_10,Hilbert,P2_Spatial,224,1,2489,2284.977678095073,0.9180304050201177
