dataset,mode,n_seeds,per_seed_mean_rho,ci_low,ci_high,ci_excludes_0,pooled_rho,pooled_p,mk_S,mk_z,mk_p
DEEP,equal,5,0.29999999999999993,-0.15999999999999998,0.7599999999999999,False,0.0,1.0,2,0.2449489742783178,0.80649594050734
DEEP,proportional,5,0.21999999999999997,-0.07999999999999999,0.6199999999999999,False,0.9999999999999999,1.4042654220543602e-24,10,2.2045407685048604,0.0274863361115103
DEEP,neyman,5,0.19999999999999998,-0.039999999999999994,0.5999999999999999,False,0.7,0.1881204043741873,6,1.224744871391589,0.22067136191984682
DEEP,anti_neyman,5,0.15999999999999998,-0.06,0.5399999999999998,False,0.0,1.0,2,0.2449489742783178,0.80649594050734
SIFT,equal,5,-0.24,-0.5999999999999999,0.08,False,-0.3,0.623837664781073,-2,-0.2449489742783178,0.80649594050734
SIFT,proportional,5,0.23999999999999994,-0.12,0.6599999999999999,False,0.6,0.28475697986529386,4,0.7348469228349533,0.4624327264504764
SIFT,neyman,5,0.23999999999999994,-0.15999999999999998,0.6799999999999999,False,0.0,1.0,2,0.2449489742783178,0.80649594050734
SIFT,anti_neyman,5,0.15999999999999998,-0.33999999999999997,0.6599999999999999,False,-0.09999999999999999,0.8728885715695384,0,0.0,1.0
