anchor,plan_recovered,n,n_small,n_medium,n_large,pct_small,pct_medium,pct_large,mean_abs_g,median_abs_g,n_p_holm_sig,pct_p_holm_sig,n_ci_excludes_zero,pct_ci_excludes_zero
baseline,True,276,57,3,216,20.652173913043477,1.0869565217391304,78.26086956521739,8.610864102911435,5.698626701660812,216,78.26086956521739,222,80.43478260869566
baseline,False,24,0,0,24,0.0,0.0,100.0,9.763061051268956,6.195624729671112,24,100.0,24,100.0
baseline,N/A,0,0,0,0,,,,,,0,,0,
B1,True,261,233,14,14,89.272030651341,5.363984674329502,5.363984674329502,0.29815609155843104,0.2454218770641858,13,4.980842911877395,52,19.92337164750958
B1,False,19,14,0,5,73.6842105263158,0.0,26.31578947368421,0.8584860291376518,0.3535008627160981,5,26.31578947368421,8,42.10526315789474
B1,N/A,0,0,0,0,,,,,,0,,0,
