factor,sum_sq,df,F,PR(>F),pct_ss
"C(query_str, Sum)",57.46311151589403,3.0,613.2108438701642,0.0,7.495514877206206
"C(qid_str, Sum)",1.8146753113634178,2.0,29.047641600221862,2.890083911850334e-13,0.23670708798741386
"C(sel_str, Sum)",256.1725756715897,2.0,4100.573319820645,0.0,33.41526940370311
"C(cond_str, Sum)",157.62445025669692,3.0,1682.070803453533,0.0,20.56060628710874
"C(query_str, Sum):C(cond_str, Sum)",17.146267556475806,9.0,60.991459971219655,3.036649390696393e-106,2.236567080475175
"C(sel_str, Sum):C(cond_str, Sum)",127.29062750019885,6.0,679.1834887375508,0.0,16.60384839920741
Residual,149.12157165252938,4774.0,,,19.45148686431195
