factor,sum_sq,df,F,PR(>F),pct_ss
"C(cell_str, Sum)",379.5064508443613,19.0,972.2380307471092,0.0,37.134739770421525
"C(cond_str, Sum)",393.9436907864381,3.0,6391.752330571099,0.0,38.5474249752694
"C(cell_str, Sum):C(cond_str, Sum)",151.55188662212868,57.0,129.41765766008433,0.0,14.829365505929697
Residual,96.9694550281931,4720.0,,,9.488469748379368
