factor,sum_sq,df,F,PR(>F),pct_ss
"C(query_str, Sum)",26.882704216731344,3.0,283.60447051187003,1.49635253580431e-168,4.6088871754066085
"C(qid_str, Sum)",1.689413948838457,2.0,26.734216054285486,2.8722115052578387e-12,0.2896404401871344
"C(sel_str, Sum)",412.84230941886284,2.0,6533.043901965217,0.0,70.77947255624709
"C(cond_str, Sum)",0.009092038362024444,2.0,0.1438774186227912,0.8659978976088185,0.0015587784125883773
"C(query_str, Sum):C(cond_str, Sum)",0.17278797659629014,6.0,0.9114306771063111,0.48537057840811093,0.029623518637810906
"C(sel_str, Sum):C(cond_str, Sum)",0.13120698454437146,4.0,1.0381457650010009,0.3858794553872463,0.02249469337292192
Residual,141.5522055224628,4480.0,,,24.268322837735855
