decile,n,true_mean,b1_mean,caseB_mean
0,1000,7934655.0,7893717.0,7974286.0
1,1000,7965219.0,7903052.0,7916633.0
2,1000,7979711.0,7961048.0,8030274.0
3,1000,7995955.0,8004616.0,7958712.0
4,1000,8008766.0,7977406.0,7991611.0
5,1000,8022306.0,8016796.0,8107063.0
6,1000,8032452.0,7966810.0,8069053.0
7,1000,8041027.0,8112750.0,8199065.0
8,1000,8061018.0,8055288.0,8071046.0
9,1000,8093403.0,8096355.0,8088796.0
