cell,condition,raw_label,exec_ms_trimmed,exec_ms_median,plan_short,recovers_oracle,q_error,injected_card,true_card,injection_fired
tpc_h/q10 DEEP sf10 sel0.001 qid1,pca2d_zorder_morton,CaseB:zorder_morton,1012.7344886199213,1060.8982109697536,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,2.559621893607304,3130.5404989747094,8013.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid1,md5_prefix_hash_bucket,CaseB:hyperloglog,1046.5885412413627,1067.024072050117,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.7018288104677208,4708.464183185237,8013.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid1,cum_sqrtf,CaseB:cum_sqrtf,1035.2598511560175,1058.133119950071,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.5038869653448967,5328.19299897471,8013.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid1,takeall_cumsqrtf,CaseB:lavallee_hidiroglou,1051.7299147680974,1065.734232077375,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.3834182154167602,5792.174709501025,8013.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid1,rsvd,CaseB:rsvd,1066.6558030777826,1062.6181120751426,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.0057284748641793,7967.359183185235,8013.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid1,sparse_rp,CaseB:sparse_rp,1066.7045025531058,1069.3553750170395,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.3102417090682867,10498.966814764182,8013.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid1,pca2d_equi_depth_grid,CaseB:mhist2,1043.4135159280581,1060.1864620111883,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.8402294156278782,4354.3483937115525,8013.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid1,rabitq_1bit_bucket,CaseB:rabitq_strat,1070.982139530735,1070.107633015141,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.1546707644558638,6939.64049897471,8013.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,baseline,baseline,6609.147774548126,6826.0719910031185,Gather > Sort > HJ > HJ > Seq > Hash > HJ > Seq > Hash > HJ > Seq > H…,False,,,8090.0,False
tpc_h/q10 DEEP sf10 sel0.001 qid2,B1,B1,1060.1873403647915,1056.559041957371,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.2842534474178482,10389.610389610392,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,oracle,oracle,1065.0455661637423,1065.9348829649389,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.0,8090.0,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca2d_hilbert_xy2d,CaseB:hilbert_real,1050.4462842005664,1058.1306129461154,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.1625177197404117,9404.768352699932,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca4_skilling_hilbert_approx,CaseB:skilling_hilbert,1067.3955892158958,1067.0817430363968,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.2927024832561234,10457.963089542038,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,chao_weighted,CaseB:chao_weighted,1045.8893693732814,1055.9805850498378,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.1495758161557397,9300.068352699935,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,ica_fastica,CaseB:ica_fastica,1069.239120446862,1071.6559899738058,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.2927024832561234,10457.963089542038,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca1d,CaseB:pca1d,1065.1179082387198,1066.6134119965136,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.108209600488195,7300.063089542038,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca2d_zorder_morton,CaseB:zorder_morton,1065.6780406044652,1066.0223740851507,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.108209600488195,7300.063089542038,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,md5_prefix_hash_bucket,CaseB:hyperloglog,1054.7522780969023,1067.3264730721712,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.2116459482226187,9802.215721120985,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,cum_sqrtf,CaseB:cum_sqrtf,1054.7232906101272,1065.2090759249404,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.0895032196725765,7425.402563226249,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,takeall_cumsqrtf,CaseB:lavallee_hidiroglou,1060.578131600498,1056.7928449017927,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.052481612785757,8514.576247436775,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,rsvd,CaseB:rsvd,1064.1384028489342,1062.1938890544698,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.3210507532864073,6123.9130895420385,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,sparse_rp,CaseB:sparse_rp,1067.4171031524356,1068.111247033812,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.1162567197962838,7247.4367737525645,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,pca2d_equi_depth_grid,CaseB:mhist2,1063.819820052371,1064.425963908434,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.2089028412087428,6692.0183526999335,8090.0,True
tpc_h/q10 DEEP sf10 sel0.001 qid2,rabitq_1bit_bucket,CaseB:rabitq_strat,1051.5500191473761,1061.2766549456865,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,True,1.405598195961868,11371.289405331512,8090.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,baseline,baseline,5965.83036121984,6012.764288927428,Gather > Sort > NL > HJ > Seq > Hash > Seq > IOS,False,,,7603.0,False
tpc_h/q12 DEEP sf10 sel0.001 qid0,B1,B1,952.6424227783887,948.3528160490096,Sort > NL > NL > Gather > Seq > IS > IOS,False,,0.0,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,oracle,oracle,987.5461851389936,985.794743988663,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.0,7603.0,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca2d_hilbert_xy2d,CaseB:hilbert_real,984.3073290092154,984.1512329876423,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.1240614854247284,8546.23947368421,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca4_skilling_hilbert_approx,CaseB:skilling_hilbert,978.4642642435546,980.5238909320906,Gather > Sort > NL > NL > Seq > IS > IOS,True,2.4906379310344824,3052.631578947369,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,chao_weighted,CaseB:chao_weighted,981.2134936845933,982.7089660102502,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.0621838235294114,7157.894736842107,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,ica_fastica,CaseB:ica_fastica,985.7192189934162,985.5661279289052,Gather > Sort > NL > NL > Seq > IS > IOS,True,7.222849999999999,1052.6315789473686,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca1d,CaseB:pca1d,990.4777560150251,989.820615039207,Gather > Sort > NL > NL > Seq > IS > IOS,True,2.4076166666666667,3157.8947368421054,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,pca2d_zorder_morton,CaseB:zorder_morton,988.8456001197203,988.528746063821,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.80549584049914,4211.031578947369,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,md5_prefix_hash_bucket,CaseB:hyperloglog,985.413217693209,983.0045169219375,Gather > Sort > NL > NL > Seq > IS > IOS,True,2.3595651064264205,3222.203947368421,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,cum_sqrtf,CaseB:cum_sqrtf,984.8306177703378,989.4401209894568,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.221121289211669,6226.244736842105,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,takeall_cumsqrtf,CaseB:lavallee_hidiroglou,976.8761905411689,986.6839880123734,Gather > Sort > NL > NL > Seq > IS > IOS,True,1.4999683303446176,5068.773684210527,7603.0,True
tpc_h/q12 DEEP sf10 sel0.001 qid0,rsvd,CaseB:rsvd,985.0644440963291,986.5112929837778,Gather > Sort > NL > NL > Seq > IS > IOS,True,2.2579503118696467,3367.2131578947374,7603.0,True
