cell,method,method_raw,B1_plan,CaseB_plan,plan_same,B1_ms,CaseB_ms,delta_pct,B1_recovers_oracle,CaseB_recovers_oracle,true_card,CaseB_injected_card,q_error,injection_fired,p_holm,hedges_g,cliffs_delta
tpc_h/q10 DEEP sf10 sel0.001 qid1,md5_prefix_hash_bucket,hyperloglog,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1046.6,-1.77,True,True,8013.0,4708.5,1.702,True,1.0,0.2004475979808872,-0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid1,pca1d,pca1d,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1042.7,-2.13,True,True,8013.0,7288.4,1.099,True,1.0,0.2628295030275093,0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid1,pca2d_equi_depth_grid,mhist2,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1043.4,-2.07,True,True,8013.0,4354.3,1.84,True,1.0,0.3208088667221463,0.2
tpc_h/q10 DEEP sf10 sel0.001 qid1,pca2d_hilbert_xy2d,hilbert_real,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1028.2,-3.49,True,True,8013.0,5121.0,1.565,True,1.0,0.338247664168837,-0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid1,pca2d_zorder_morton,zorder_morton,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1012.7,-4.95,True,True,8013.0,3130.5,2.56,True,1.0,0.370682659369374,-0.2
tpc_h/q10 DEEP sf10 sel0.001 qid1,pca4_skilling_hilbert_approx,skilling_hilbert,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1038.0,-2.58,True,True,8013.0,6130.6,1.307,True,1.0,0.2296671859780185,0.3333333333333333
tpc_h/q10 DEEP sf10 sel0.001 qid1,rabitq_1bit_bucket,rabitq_strat,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1071.0,0.52,True,True,8013.0,6939.6,1.155,True,1.0,-0.3659420917546318,-0.4666666666666667
tpc_h/q10 DEEP sf10 sel0.001 qid1,rsvd,rsvd,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1066.7,0.12,True,True,8013.0,7967.4,1.006,True,1.0,0.0883266529759495,-0.2
tpc_h/q10 DEEP sf10 sel0.001 qid1,sparse_rp,sparse_rp,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1066.7,0.12,True,True,8013.0,10499.0,1.31,True,1.0,-0.130457927381843,0.0666666666666666
tpc_h/q10 DEEP sf10 sel0.001 qid1,takeall_cumsqrtf,lavallee_hidiroglou,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,Gather > Sort > HJ > NL > NL > NL > Seq > IS > IS > IS > Hash > Seq,same,1065.4,1051.7,-1.29,True,True,8013.0,5792.2,1.383,True,1.0,0.2368397111330808,-0.0666666666666666
