table_pair,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D_deep_target,D_wiki_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,481095,1.2758615016937256,2.239798069000244,80746,20963.78947368421,3.8516891281206695,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3528014,1.192535400390625,2.73050594329834,78342,82759.21111111112,1.0563836908824273,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5369867,1.248127818107605,2.9118566513061523,76434,82812.09714285715,1.0834458113255507,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7520880,1.2978402376174927,2.7340762615203857,81176,21218.85714285714,3.8256537311825065,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6025740,1.1894699335098267,2.502586841583252,81604,83130.10842105263,1.0187013923466084,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3454116,1.2314070463180542,2.848135471343994,80211,124879.0942857143,1.556882401238163,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6288378,1.2452954053878784,2.8833417892456055,81250,82239.89945652174,1.0121833779264215,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1370862,1.2117983102798462,2.9738197326660156,78577,20927.684210526317,3.7546915946140342,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2964065,1.2284141778945923,2.7892730236053467,80961,102117.6104347826,1.261318541455548,385,385
partsupp_deep_10_join_part_wiki_10,partsupp_deep_10_join_part_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7031696,1.2324044704437256,2.507117748260498,81411,20734.4375,3.926366461593183,385,385
