table,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,481095,1.2758615016937256,509.6593933105469,79159,61667.32057416268,1.2836458478003983,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3528014,1.192535400390625,492.5322265625,77806,81847.52226720648,1.0519435810503879,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5369867,1.248127818107605,488.4177551269531,77241,82927.82826647037,1.073624477498613,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7520880,1.2978402376174927,550.653076171875,80807,187696.85083333336,2.3227795962396,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6025740,1.1894699335098267,454.29901123046875,80332,40633.36842105263,1.9769958317897915,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3454116,1.2314070463180542,528.7625122070312,76835,62436.87294117648,1.2306029495165205,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6288378,1.2452954053878784,492.21063232421875,79815,62032.25384615385,1.2866693542676868,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1370862,1.2117983102798462,497.7179870605469,79848,144094.36746844486,1.804608349219077,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2964065,1.2284141778945923,512.8976440429688,78857,84206.31411764707,1.06783562800572,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7031696,1.2324044704437256,485.07708740234375,78774,62559.92307692308,1.2591767400855056,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4389879,1.2300347089767456,601.8147583007812,80734,105255.19411764706,1.3037282200516147,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,332506,1.2145559787750244,513.7750854492188,79899,41961.07294117648,1.9041219492172463,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7799146,1.2312073707580566,519.1454467773438,79058,61845.333708439895,1.278317946713757,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3041529,1.1483227014541626,488.72784423828125,79571,81308.15263157894,1.0218314792019572,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,737452,1.2798588275909424,434.2889404296875,80194,62208.95972850679,1.2891069124123564,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5167757,1.252101182937622,513.8399658203125,81537,82609.6064390331,1.0131548430655175,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1813464,1.2436870336532593,476.1165771484375,78991,82505.42533936651,1.0444914653487931,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6207689,1.1708049774169922,599.5791625976562,80740,84413.10352941176,1.0454929840155036,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7385883,1.1777342557907104,450.46942138671875,80429,84724.58823529413,1.0534084501273686,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1110231,1.2301665544509888,546.38427734375,78307,103501.53097826087,1.3217404699230064,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4260736,1.2347526550292969,567.0369262695312,79280,83316.59294117648,1.050915652638452,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7241835,1.2067705392837524,531.5641479492188,79963,63143.49411764706,1.2663695780125082,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5886526,1.0852018594741821,548.0302734375,80481,83117.58421052631,1.0327603311405962,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7903428,1.1325520277023315,483.0943908691406,80402,83857.2,1.0429740553717568,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2010126,1.1659375429153442,469.8636779785156,78819,102110.17763157895,1.2955020696986634,385,385
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,64433,1.2458291053771973,515.2754516601562,80315,166275.99130434782,2.0702980925648733,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6427842,1.127610683441162,518.9891967773438,80597,41440.1,1.9449036078580892,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1934109,1.1786408424377441,476.6014099121094,80308,41574.85972850679,1.9316481288073937,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2037726,1.253166913986206,593.3135986328125,78032,123954.5333444816,1.588508987908571,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,944719,1.0694438219070435,531.5699462890625,78844,83128.74782608695,1.0543446276962984,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5909334,1.2997132539749146,477.7635498046875,78622,61861.407692307694,1.2709377774113673,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7834709,1.269679069519043,541.9563598632812,80309,41638.91636363637,1.9287005285789465,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7376316,1.1346229314804077,478.3782043457031,80487,104581.54782608696,1.2993594968887765,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5165847,1.2349876165390015,512.4940795898438,79564,103768.51565217391,1.3042144142096164,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1376518,1.1538054943084717,573.1790161132812,80834,125924.34000000001,1.557814038647104,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,378067,1.1999801397323608,473.1714172363281,81406,61092.5625,1.3325026266495206,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2548244,1.2704721689224243,543.5182495117188,78194,41088.53532608696,1.9030612646432037,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6059356,1.0709707736968994,486.2569274902344,79555,62784.40277777778,1.2671140678295674,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2093515,1.2240983247756958,503.2249755859375,79778,82892.26968061179,1.039036697844165,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7666555,1.2897976636886597,471.37298583984375,82559,103457.47149321268,1.2531337769741964,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4888112,1.1825072765350342,454.7341003417969,78772,124275.69519230768,1.5776633218949332,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3745676,1.1852964162826538,509.7596740722656,76591,41604.06782608696,1.840949791740682,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1117872,1.280386209487915,492.3041687011719,78707,42013.80333333333,1.8733605090580947,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1782015,1.308508276939392,498.5712585449219,78758,82570.12645651562,1.0484030378693672,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5399003,1.1544610261917114,484.9765930175781,81376,62460.278846153844,1.302844007476136,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7813502,1.2021015882492065,481.955078125,79785,0.0,,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7712554,1.1845875978469849,521.2858276367188,76330,146346.2,1.91728285077951,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1407909,1.2321441173553467,459.9862060546875,81029,103612.17770979021,1.2787048798552396,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,25058,1.2523014545440674,463.5052490234375,80164,61462.07171052632,1.304284053058867,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5261130,1.2228223085403442,552.2269287109375,78267,83137.34347826087,1.0622272921954448,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6080832,1.2412508726119995,500.3233947753906,78997,83377.29565217391,1.0554488860611657,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2248413,1.1413836479187012,483.84698486328125,81510,104328.94305555554,1.27995268133426,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3861353,1.2959778308868408,504.97998046875,79171,126431.95930481283,1.5969478635461574,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4878920,1.2274802923202515,468.1325378417969,78985,83413.23076923077,1.0560641991419988,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3401984,1.2167928218841553,536.9682006835938,79974,42561.882352941175,1.8790052408119942,384,384
partsupp_deep_sift_10,partsupp_deep_sift_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1227788,1.1407045125961304,487.0450744628906,81395,104365.40226608187,1.2822090087361862,384,384
