table,dataset,mode,base_method,paradigm,selectivity,seed,query_id,D1_target,D2_target,true_card,est,q_error,sample_size_used,total_sample_size
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6366790,1.275483250617981,3.16326642036438,82474,41255.07777777778,1.9991236095650986,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,481095,1.2758615016937256,2.7351417541503906,80410,82587.60451832907,1.0270812649960088,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3528014,1.192535400390625,3.1224870681762695,76771,41054.77719298245,1.8699650868674687,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,5369867,1.248127818107605,2.802806854248047,77621,41434.924812030076,1.873323056627432,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7520880,1.2978402376174927,2.8685460090637207,79518,62375.68823529412,1.2748236091606957,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6025740,1.1894699335098267,3.341740131378174,80289,42528.31578947369,1.8878951237441803,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3454116,1.2314070463180542,2.8160572052001953,81164,41738.399999999994,1.9445881969601138,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,6288378,1.2452954053878784,2.823155403137207,79964,83734.01027568922,1.0471463443010507,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,1370862,1.2117983102798462,2.676485300064087,81658,62484.40299277606,1.306854128212454,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,2964065,1.2284141778945923,2.813986301422119,80358,42489.87218045113,1.8912271531137097,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7031696,1.2324044704437256,2.8090691566467285,79657,61575.117647058825,1.2936556687814118,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,4389879,1.2300347089767456,2.8626089096069336,78749,21077.5,3.736164156090618,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,332506,1.2145559787750244,2.9190993309020996,78918,103120.69122807017,1.3066815077431024,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,7799146,1.2312073707580566,2.8348586559295654,78597,104518.75829984168,1.3298059506067874,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,3041529,1.1483227014541626,2.8063817024230957,80344,42487.517027863774,1.8910024783822865,385,385
partsupp_deep_wiki_10,partsupp_deep_wiki_10,ensemble_HDBSCAN,HDBSCAN,P1_Cluster,0.01,0.1,737452,1.2798588275909424,2.941227912902832,77924,123836.76870052368,1.5891993314065458,385,385
