paradigm,qerr_single_avg,qerr_multi_avg,ratio_mean,ratio_min,ratio_max,best_method,best_ratio,worst_method,worst_ratio
P4_Dim,1.216524667516992,1.218572294417947,1.001684524358978,1.0011206139888016,1.0022484347291547,sparse_rp,1.0011206139888016,PCA1D,1.0022484347291547
P2_Spatial,1.2080270266664783,1.2213572520252798,1.011091541152627,0.9967110797264656,1.0254720025787882,Hilbert,0.9967110797264656,faiss_ivf,1.0254720025787882
P1_Cluster,1.201035801029085,1.2385647771493282,1.0312532080724068,1.0200033407209654,1.0481308710802708,HDBSCAN,1.0200033407209654,GMM,1.0481308710802708
P3_Stream,1.2067980008798243,1.3137937306817133,1.0883747101096728,1.0302147789959941,1.1465346412233515,MB_partial,1.0302147789959941,Reservoir,1.1465346412233515
P5_QR,2.986450227662143,8.884091814980401,2.2565664548292705,1.041958717669668,3.4711741919888732,LSH,1.041958717669668,Sobol,3.4711741919888732
