cell,method,selectivity,n_paired,mean_delta_pct,wilcoxon_stat,wilcoxon_p,significant_05,bonferroni_p,bh_fdr_q,sig_bonf_05,sig_bh_05
partsupp_deep_sift_10,Sobol,0.01,435,22427.729014306056,31369.0,9.588553956793483e-10,True,3.1642228057418493e-07,1.5821114028709245e-08,True,True
partsupp_deep_sift_10,Sobol,0.05,500,20.202510382139714,37319.0,4.916297576682073e-15,True,1.6223782003050842e-12,8.111891001525421e-13,True,True
partsupp_deep_sift_10,Sobol,0.1,500,9.490938028510824,38414.0,6.873232717134255e-14,True,2.268166796654304e-11,3.24342778633068e-12,True,True
partsupp_deep_sift_10,Sobol,0.3,500,3.671610451098605,41249.0,3.761190923268394e-11,True,1.2411930046785699e-08,7.757456279241062e-10,True,True
partsupp_deep_sift_10,Sobol,0.5,500,2.0397307598608703,40517.0,7.938432631381246e-12,True,2.619682768355811e-09,2.9107586315064566e-10,True,True
partsupp_deep_sift_10,faiss_ivf,0.01,475,17.379699959635115,55404.0,0.7080202455248992,False,1.0,0.8434898231885081,False,False
partsupp_deep_sift_10,faiss_ivf,0.05,500,1.0234166908241848,58857.0,0.24372619099658066,False,1.0,0.46603511978409695,False,False
partsupp_deep_sift_10,faiss_ivf,0.1,500,-0.19671760347760425,57257.0,0.0967690736519641,False,1.0,0.2683512126483038,False,False
partsupp_deep_sift_10,faiss_ivf,0.3,500,0.02903504682748904,61835.0,0.8069164193171533,False,1.0,0.9088137145892854,False,False
partsupp_deep_sift_10,faiss_ivf,0.5,500,0.24940185453509298,61217.0,0.6631273341776345,False,1.0,0.8195955815678628,False,False
partsupp_deep_sift_10,sparse_rp,0.01,478,12.228391766374866,55897.0,0.6565820552982459,False,1.0,0.8156946282132592,False,False
partsupp_deep_sift_10,sparse_rp,0.05,500,2.2969819560397475,61642.0,0.7610400682058435,False,1.0,0.8761477094362494,False,False
partsupp_deep_sift_10,sparse_rp,0.1,500,0.8449002060748748,62278.0,0.9145089377495592,False,1.0,0.9550251565106157,False,False
partsupp_deep_sift_10,sparse_rp,0.3,500,-0.29057021182492754,57376.0,0.10439554991418581,False,1.0,0.28471513612959765,False,False
partsupp_deep_sift_10,sparse_rp,0.5,500,0.2101829902931523,59100.0,0.27547286850746366,False,1.0,0.4926839534634103,False,False
partsupp_deep_wiki_10,GMM,0.01,485,33.93826209868682,55771.0,0.30671195459574885,False,1.0,0.5214804557425375,False,False
partsupp_deep_wiki_10,GMM,0.05,500,2.757207583222118,61028.0,0.6212558209675034,False,1.0,0.7854958655910963,False,False
partsupp_deep_wiki_10,GMM,0.1,500,0.9329240429196168,61551.0,0.7396866229888446,False,1.0,0.8655907290294991,False,False
partsupp_deep_wiki_10,GMM,0.3,500,0.612953344979927,58799.0,0.2365447527816521,False,1.0,0.46603511978409695,False,False
partsupp_deep_wiki_10,GMM,0.5,500,0.36797693463361125,58944.0,0.25478321688288885,False,1.0,0.47501955690030123,False,False
partsupp_deep_wiki_10,HDBSCAN,0.01,479,16.2406971343398,54747.0,0.36723224214882166,False,1.0,0.5689513610756392,False,False
partsupp_deep_wiki_10,HDBSCAN,0.05,500,1.9382619081926526,61763.0,0.789714827649137,False,1.0,0.8986410107731561,False,False
partsupp_deep_wiki_10,HDBSCAN,0.1,500,1.4642212110498085,56925.0,0.07782707141610068,False,1.0,0.22896253157146737,False,False
partsupp_deep_wiki_10,HDBSCAN,0.3,500,0.11621984555386419,60605.0,0.5320125505563322,False,1.0,0.725471659849544,False,False
