cell,method,selectivity,n_paired,mean_delta_pct_h2h,median_delta_pct_h2h,n_better,p_better,wilcoxon_p,significant_05,method_better
partsupp_deep_wiki_10,sparse_rp,0.5,500,0.5544461136572065,0.43875939693320604,224,0.448,0.005206653004130623,True,False
multi_join_deep_wiki,HDBSCAN,all,2485,12.121946390263838,2.159552715161131,962,0.3871227364185111,1.2459816124159267e-54,True,False
multi_join_deep_wiki,HDBSCAN,0.01,485,46.79352872605163,24.889886493702225,120,0.24742268041237114,9.18821992512836e-43,True,False
multi_join_deep_wiki,HDBSCAN,0.05,500,9.31307744754443,5.946203291563992,171,0.342,4.395497893171649e-18,True,False
multi_join_deep_wiki,HDBSCAN,0.1,500,4.224387397828877,2.635511822182181,197,0.394,1.3855222645418084e-08,True,False
multi_join_deep_wiki,HDBSCAN,0.3,500,0.8115324246089564,0.2630015594090276,242,0.484,0.12100099707547858,False,False
multi_join_deep_wiki,HDBSCAN,0.5,500,0.5073534253589234,0.3761420755517384,232,0.464,0.028273805204979283,True,False
multi_join_deep_wiki,MB_partial,all,2487,12.622025032292482,2.2251904682595844,951,0.3823884197828709,5.900889751639924e-61,True,False
multi_join_deep_wiki,MB_partial,0.01,487,47.619933767632,23.843412471172172,118,0.24229979466119098,2.823342419159698e-46,True,False
multi_join_deep_wiki,MB_partial,0.05,500,10.60043070641737,6.317854491855533,176,0.352,9.60344317680944e-21,True,False
multi_join_deep_wiki,MB_partial,0.1,500,4.837474996628131,2.8262542987820054,176,0.352,2.723019194687772e-13,True,False
multi_join_deep_wiki,MB_partial,0.3,500,0.7113987824802251,0.3373038394016751,237,0.474,0.1224918898981813,False,False
multi_join_deep_wiki,MB_partial,0.5,500,0.25083253542352385,0.15215006742672876,244,0.488,0.7287348330793941,False,False
multi_join_deep_wiki,Hilbert,all,2490,10.456853401614234,1.6477220477045247,1002,0.40240963855421685,1.7593186828453405e-43,True,False
multi_join_deep_wiki,Hilbert,0.01,490,41.837673450548635,22.143154720858277,122,0.24897959183673468,2.6367785437944903e-42,True,False
multi_join_deep_wiki,Hilbert,0.05,500,7.512585748409791,4.552590617026287,182,0.364,1.4920342371450293e-13,True,False
multi_join_deep_wiki,Hilbert,0.1,500,2.5298992417861075,1.539779308534293,210,0.42,0.00010843625028120172,True,False
multi_join_deep_wiki,Hilbert,0.3,500,0.8056612660468263,0.1738969639308801,242,0.484,0.08219905250731939,False,False
multi_join_deep_wiki,Hilbert,0.5,500,0.22606370225850578,0.1633996252236124,246,0.492,0.6079910811687439,False,False
multi_join_deep_wiki,sparse_rp,all,2489,10.41517476217938,2.3972822683225115,973,0.3909200482121334,4.87987416496607e-57,True,False
multi_join_deep_wiki,sparse_rp,0.01,489,38.13978035368095,20.606922137966656,119,0.24335378323108384,3.0562129311938327e-40,True,False
