dataset,mode,selectivity,seed,query_id,D_target,true_card,est,q_error
DEEP,bernoulli,0.01,0.1,0,1.006659746170044,7977,8311.688311688311,1.0419566643711058
DEEP,bernoulli,0.01,0.1,1,0.9621272087097168,8134,10389.610389610389,1.2773064162294552
DEEP,bernoulli,0.01,0.1,2,0.8632411360740662,7981,12467.532467532466,1.562151668654613
DEEP,bernoulli,0.01,0.1,3,0.9314088225364685,8230,10389.610389610389,1.2624070947278723
DEEP,bernoulli,0.01,0.1,4,0.8454217314720154,8001,12467.532467532466,1.558246777594359
DEEP,bernoulli,0.01,0.1,5,1.0327799320220947,7938,8311.688311688311,1.0470758770078497
DEEP,bernoulli,0.01,0.1,6,1.0897210836410522,7862,2077.9220779220777,3.7835875000000003
DEEP,bernoulli,0.01,0.1,7,1.1096807718276978,8169,12467.532467532466,1.5262005713713387
DEEP,bernoulli,0.01,0.1,8,1.0437828302383423,8100,2077.9220779220777,3.8981250000000003
DEEP,bernoulli,0.01,0.1,9,1.167239785194397,8079,10389.610389610389,1.2860020286682001
DEEP,bernoulli,0.01,0.1,10,0.9531128406524658,8146,8311.688311688311,1.0203398369369396
DEEP,bernoulli,0.01,0.1,11,1.0004907846450806,8012,4155.8441558441555,1.9278875000000002
DEEP,bernoulli,0.01,0.1,12,0.8957445025444031,8103,10389.610389610389,1.2821930630149807
DEEP,bernoulli,0.01,0.1,13,0.958071768283844,8011,2077.9220779220777,3.8552937500000004
DEEP,bernoulli,0.01,0.1,14,1.1011961698532104,7440,6233.766233766233,1.1935
DEEP,bernoulli,0.01,0.1,15,1.1248338222503662,7899,2077.9220779220777,3.8013937500000003
DEEP,bernoulli,0.01,0.1,16,0.8576139807701111,8060,10389.610389610389,1.2890335470980632
DEEP,bernoulli,0.01,0.1,17,1.1138168573379517,7866,6233.766233766233,1.2618375000000002
DEEP,bernoulli,0.01,0.1,18,0.9641466736793518,7956,14545.454545454544,1.8282371223547693
DEEP,bernoulli,0.01,0.1,19,1.0578975677490234,8190,10389.610389610389,1.2685726971441256
DEEP,bernoulli,0.01,0.1,20,1.1037627458572388,8034,10389.610389610389,1.2932051767003223
DEEP,bernoulli,0.01,0.1,21,0.9153999090194702,8059,14545.454545454544,1.8048708953287684
DEEP,bernoulli,0.01,0.1,22,0.8987319469451904,7984,8311.688311688311,1.0410431252114618
DEEP,bernoulli,0.01,0.1,23,1.023531198501587,7975,10389.610389610389,1.3027724626470707
DEEP,bernoulli,0.01,0.1,24,1.0886894464492798,7833,10389.610389610389,1.326389683341043
DEEP,bernoulli,0.01,0.1,25,0.9352098107337952,7919,4155.8441558441555,1.9055093750000003
DEEP,bernoulli,0.01,0.1,26,1.1474289894104004,7984,8311.688311688311,1.0410431252114618
DEEP,bernoulli,0.01,0.1,27,0.9674500823020935,8107,8311.688311688311,1.0252483423816838
DEEP,bernoulli,0.01,0.1,28,0.9710919260978699,7699,0.0,
DEEP,bernoulli,0.01,0.1,29,0.8509531021118164,7747,6233.766233766233,1.2427479166666668
DEEP,bernoulli,0.01,0.1,30,0.9482508897781372,7837,8311.688311688311,1.0605701558872414
DEEP,bernoulli,0.01,0.1,31,1.1158058643341064,7868,10389.610389610389,1.3204893733617677
DEEP,bernoulli,0.01,0.1,32,1.0204293727874756,7899,12467.532467532466,1.5783684602522428
DEEP,bernoulli,0.01,0.1,33,1.1072142124176025,7874,2077.9220779220777,3.7893625
