cell,anchor,variant,n_pairs,median_diff_ms,anchor_med_ms,variant_med_ms,w_stat,p_value,p_holm,holm_rank
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:mhist2,15,-16.842921962961555,4763.207089039497,5519.209092948586,48.0,0.52447509765625,1.0,71
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:pca1d,15,12.332350015640259,4763.207089039497,5473.911148030311,57.0,0.890380859375,1.0,97
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:rabitq_strat,15,99.95737904682755,4763.207089039497,5377.511834027246,33.0,0.1353759765625,1.0,25
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:rsvd,15,39.05795607715845,4763.207089039497,5466.3567680399865,44.0,0.389404296875,1.0,56
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:skilling_hilbert,15,65.81991608254611,4763.207089039497,5485.316375037655,48.0,0.52447509765625,1.0,69
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:sparse_rp,15,-27.694739983417094,4763.207089039497,5487.006820971146,29.0,0.083251953125,1.0,17
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,CaseB:zorder_morton,15,39.91147503256798,4763.207089039497,4794.525231001899,45.0,0.42120361328125,1.0,62
tpc_h/q10 DEEP sf10 sel0.1 qid0,B1,oracle,15,25.73868492618203,4763.207089039497,4788.311169017106,57.0,0.890380859375,1.0,96
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,B1,15,-49.94790209457278,5460.762689937837,4763.207089039497,49.0,0.5614013671875,1.0,89
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:chao_weighted,15,-66.64206204004586,5460.762689937837,5418.50210505072,47.0,0.48870849609375,1.0,85
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:cum_sqrtf,15,23.060398059897125,5460.762689937837,5441.167942015454,51.0,0.638671875,1.0,93
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:hilbert_real,15,9.595585870556533,5460.762689937837,4818.149514030665,48.0,0.52447509765625,1.0,88
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:hyperloglog,15,59.44318708498031,5460.762689937837,4699.008280062117,18.0,0.01507568359375,0.904541015625,61
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:ica_fastica,15,-10.613463004119694,5460.762689937837,5268.905323930085,54.0,0.76153564453125,1.0,100
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:lavallee_hidiroglou,15,-16.55873900745064,5460.762689937837,5263.918559998274,60.0,1.0,1.0,120
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:mhist2,15,-26.81699104141444,5460.762689937837,5519.209092948586,58.0,0.93408203125,1.0,114
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:pca1d,15,-28.41476397588849,5460.762689937837,5473.911148030311,51.0,0.638671875,1.0,92
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:rabitq_strat,15,54.94432209525257,5460.762689937837,5377.511834027246,21.0,0.02557373046875,1.0,62
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:rsvd,15,6.872662925161421,5460.762689937837,5466.3567680399865,43.0,0.359130859375,1.0,80
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:skilling_hilbert,15,24.48459796141833,5460.762689937837,5485.316375037655,55.0,0.803955078125,1.0,104
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:sparse_rp,15,-84.17875808663666,5460.762689937837,5487.006820971146,25.0,0.04791259765625,1.0,63
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,CaseB:zorder_morton,15,22.189694922417402,5460.762689937837,4794.525231001899,40.0,0.27685546875,1.0,71
tpc_h/q10 DEEP sf10 sel0.1 qid0,baseline,oracle,15,-2.735993009991944,5460.762689937837,4788.311169017106,55.0,0.803955078125,1.0,103
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:chao_weighted,15,-12.596462154760957,1353.688421077095,1369.06696902588,28.0,0.072998046875,1.0,16
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:cum_sqrtf,15,-16.726258909329772,1353.688421077095,1369.9479650240391,40.0,0.27685546875,1.0,43
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:hilbert_real,15,4.623944056220353,1353.688421077095,1363.1680880207568,56.0,0.846923828125,1.0,94
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:hyperloglog,15,-10.911883902736008,1353.688421077095,1376.8472319934517,35.0,0.1688232421875,1.0,29
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:ica_fastica,15,-9.142043069005013,1353.688421077095,1363.7679719831795,46.0,0.45428466796875,1.0,65
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:lavallee_hidiroglou,15,-4.578183055855334,1353.688421077095,1371.6424530139193,42.0,0.33026123046875,1.0,51
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:mhist2,15,-3.7348991027101874,1353.688421077095,1364.7820201003924,39.0,0.25238037109375,1.0,41
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:pca1d,15,4.492650041356683,1353.688421077095,1357.1255619172007,54.0,0.76153564453125,1.0,89
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:rabitq_strat,15,-2.8322500875219703,1353.688421077095,1365.4161469312385,41.0,0.30279541015625,1.0,49
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:rsvd,15,-3.267947002314031,1353.688421077095,1352.0311679458246,56.0,0.846923828125,1.0,95
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:skilling_hilbert,15,-15.154190012253821,1353.688421077095,1390.34918602556,30.0,0.0946044921875,1.0,19
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:sparse_rp,15,2.4232249706983566,1353.688421077095,1363.052995991893,52.0,0.67877197265625,1.0,80
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,CaseB:zorder_morton,15,-5.4341190261766315,1353.688421077095,1405.215649981983,41.0,0.30279541015625,1.0,48
tpc_h/q12 DEEP sf10 sel0.01 qid0,B1,oracle,15,-31.323338043875992,1353.688421077095,1386.46162499208,41.0,0.30279541015625,1.0,47
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,B1,15,3159.287274000235,4516.848713043146,1353.688421077095,0.0,6.103515625e-05,0.00732421875,16
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:chao_weighted,15,3149.3304290343076,4516.848713043146,1369.06696902588,0.0,6.103515625e-05,0.00732421875,20
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:cum_sqrtf,15,3150.1409229822457,4516.848713043146,1369.9479650240391,0.0,6.103515625e-05,0.00732421875,25
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:hilbert_real,15,3160.6557350605726,4516.848713043146,1363.1680880207568,0.0,6.103515625e-05,0.00732421875,18
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:hyperloglog,15,3150.254790089093,4516.848713043146,1376.8472319934517,0.0,6.103515625e-05,0.00732421875,24
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:ica_fastica,15,3151.724776835181,4516.848713043146,1363.7679719831795,0.0,6.103515625e-05,0.00732421875,21
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:lavallee_hidiroglou,15,3148.9935719873756,4516.848713043146,1371.6424530139193,0.0,6.103515625e-05,0.00732421875,26
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:mhist2,15,3145.3325690235943,4516.848713043146,1364.7820201003924,0.0,6.103515625e-05,0.00732421875,29
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:pca1d,15,3165.9916039789096,4516.848713043146,1357.1255619172007,0.0,6.103515625e-05,0.00732421875,22
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:rabitq_strat,15,3153.4956210525706,4516.848713043146,1365.4161469312385,0.0,6.103515625e-05,0.00732421875,30
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:rsvd,15,3160.0522599183023,4516.848713043146,1352.0311679458246,0.0,6.103515625e-05,0.00732421875,27
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:skilling_hilbert,15,3136.897742981091,4516.848713043146,1390.34918602556,0.0,6.103515625e-05,0.00732421875,19
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:sparse_rp,15,3142.1592630213127,4516.848713043146,1363.052995991893,0.0,6.103515625e-05,0.00732421875,28
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,CaseB:zorder_morton,15,3161.520806956105,4516.848713043146,1405.215649981983,0.0,6.103515625e-05,0.00732421875,23
tpc_h/q12 DEEP sf10 sel0.01 qid0,baseline,oracle,15,3153.4853511257097,4516.848713043146,1386.46162499208,0.0,6.103515625e-05,0.00732421875,17
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:chao_weighted,15,-9.296873002313077,3841.689909924753,3869.496388011612,45.0,0.42120361328125,1.0,63
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:cum_sqrtf,15,2.615660079754889,3841.689909924753,3837.4894079752266,52.0,0.67877197265625,1.0,82
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:hilbert_real,15,0.628761132247746,3841.689909924753,3850.186020019464,52.0,0.67877197265625,1.0,81
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:hyperloglog,15,-17.862754059024155,3841.689909924753,3862.283777911216,30.0,0.0946044921875,1.0,20
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:ica_fastica,15,-4.256043117493391,3841.689909924753,3846.493743942119,51.0,0.638671875,1.0,78
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:lavallee_hidiroglou,15,10.210118955001235,3841.689909924753,3847.6760890334845,49.0,0.5614013671875,1.0,75
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:mhist2,15,13.193230028264225,3841.689909924753,3842.2834270168096,51.0,0.638671875,1.0,79
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:pca1d,15,3.092656028456986,3841.689909924753,3853.4549239557236,37.0,0.207763671875,1.0,37
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:rabitq_strat,15,-0.23565406445413828,3841.689909924753,3844.5758130401373,57.0,0.890380859375,1.0,99
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:rsvd,15,-13.857719022780657,3841.689909924753,3868.309359997511,35.0,0.1688232421875,1.0,30
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:skilling_hilbert,15,-1.4459849335253239,3841.689909924753,3852.3242420051247,60.0,1.0,1.0,112
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:sparse_rp,15,11.39793696347624,3841.689909924753,3829.0814699139446,40.0,0.27685546875,1.0,44
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,CaseB:zorder_morton,15,-12.844413053244352,3841.689909924753,3864.795660949312,54.0,0.76153564453125,1.0,90
tpc_h/q12 DEEP sf10 sel0.1 qid0,B1,oracle,15,-2.2512730211019516,3841.689909924753,3849.9080459587276,48.0,0.52447509765625,1.0,72
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,B1,15,11.008740868419409,3851.8809330416843,3841.689909924753,47.0,0.48870849609375,1.0,86
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:chao_weighted,15,9.067140985280275,3851.8809330416843,3869.496388011612,55.0,0.803955078125,1.0,105
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:cum_sqrtf,15,-1.4956188388168812,3851.8809330416843,3837.4894079752266,53.0,0.7197265625,1.0,96
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:hilbert_real,15,-2.333237905986607,3851.8809330416843,3850.186020019464,57.0,0.890380859375,1.0,109
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:hyperloglog,15,2.4724379181861877,3851.8809330416843,3862.283777911216,59.0,0.97796630859375,1.0,117
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:ica_fastica,15,-3.9172250544652343,3851.8809330416843,3846.493743942119,57.0,0.890380859375,1.0,110
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:lavallee_hidiroglou,15,20.75698901899159,3851.8809330416843,3847.6760890334845,31.0,0.10699462890625,1.0,67
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:mhist2,15,16.897973138839006,3851.8809330416843,3842.2834270168096,42.0,0.33026123046875,1.0,77
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:pca1d,15,22.266802028752863,3851.8809330416843,3853.4549239557236,27.0,0.063720703125,1.0,64
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:rabitq_strat,15,2.8250549221411347,3851.8809330416843,3844.5758130401373,45.0,0.42120361328125,1.0,83
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:rsvd,15,0.8588709169998765,3851.8809330416843,3868.309359997511,53.0,0.7197265625,1.0,97
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:skilling_hilbert,15,5.119079956784844,3851.8809330416843,3852.3242420051247,49.0,0.5614013671875,1.0,90
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:sparse_rp,15,24.03484797105193,3851.8809330416843,3829.0814699139446,36.0,0.1876220703125,1.0,68
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,CaseB:zorder_morton,15,-2.4329230654984713,3851.8809330416843,3864.795660949312,58.0,0.93408203125,1.0,115
tpc_h/q12 DEEP sf10 sel0.1 qid0,baseline,oracle,15,-4.008869989775121,3851.8809330416843,3849.9080459587276,50.0,0.5994873046875,1.0,91
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:chao_weighted,15,-36.05007496662438,2421.455682022497,3222.6468049921095,30.0,0.0946044921875,1.0,21
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:cum_sqrtf,15,7.599435048177838,2421.455682022497,2385.822035954334,54.0,0.76153564453125,1.0,91
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:hilbert_real,15,2.4605010403320193,2421.455682022497,2513.9730469090864,58.0,0.93408203125,1.0,103
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:hyperloglog,15,-94.68833298888057,2421.455682022497,3191.8135449523106,19.0,0.01806640625,1.0,6
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:ica_fastica,15,-52.5348000228405,2421.455682022497,2470.4517560312524,32.0,0.12054443359375,1.0,23
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:lavallee_hidiroglou,15,-18.815185991115868,2421.455682022497,2408.4097670856863,58.0,0.93408203125,1.0,105
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:mhist2,15,-2.487942110747099,2421.455682022497,2494.020982994698,52.0,0.67877197265625,1.0,83
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:pca1d,15,-4.264132003299892,2421.455682022497,2429.573493078351,58.0,0.93408203125,1.0,104
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:rabitq_strat,15,-35.6778260320425,2421.455682022497,2426.5147199621424,42.0,0.33026123046875,1.0,52
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:rsvd,15,36.804434028454125,2421.455682022497,2395.6988930003718,38.0,0.22930908203125,1.0,38
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:skilling_hilbert,15,6.292226957157254,2421.455682022497,2462.3570629628375,59.0,0.97796630859375,1.0,108
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:sparse_rp,15,9.048498002812266,2421.455682022497,2878.861694014631,57.0,0.890380859375,1.0,100
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,CaseB:zorder_morton,15,-95.03042593132704,2421.455682022497,2471.1033429484814,27.0,0.063720703125,1.0,13
tpc_h/q3 DEEP sf10 sel0.01 qid0,B1,oracle,15,-22.624992998316884,2421.455682022497,2886.8850970175117,49.0,0.5614013671875,1.0,76
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,B1,15,3713.3684549480677,6084.144261898473,2421.455682022497,0.0,6.103515625e-05,0.00732421875,31
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:chao_weighted,15,3699.2438859306276,6084.144261898473,3222.6468049921095,0.0,6.103515625e-05,0.00732421875,35
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:cum_sqrtf,15,3577.6280669961125,6084.144261898473,2385.822035954334,0.0,6.103515625e-05,0.00732421875,40
tpc_h/q3 DEEP sf10 sel0.01 qid0,baseline,CaseB:hilbert_real,15,3629.3929740786552,6084.144261898473,2513.9730469090864,0.0,6.103515625e-05,0.00732421875,33
